Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
"MICHAEL GEORGE , D.D.S., M.S. AND JASON BOURNE, D.D.S., M.S., INC., P.S.",602 454 425,WA PROFESSIONAL SERVICE CORPORATION,"815 STATE AVE #3, MARYSVILLE, WA, 98270, UNITED STATES",BIRMINGHAM THORSON & BARNETT PC,Inactive
"MICHAEL H. FERGUSON, CPA, P.S.",602 789 699,WA PROFESSIONAL SERVICE CORPORATION,"999 3RD AVE #3300, SEATTLE, WA, 98104, UNITED STATES",THOMAS S BOURNE CPA,Inactive
"MICHAEL HALVORSON CONSULTING, INC.",600 270 789,WA PROFIT CORPORATION,"2801 ALASKAN WAY #300 PIER 70, SEATTLE, WA, 98121-1128, UNITED STATES",,Inactive
MICHAEL J. GARRISON P.S.,601 834 404,WA PROFESSIONAL SERVICE CORPORATION,"5425 42ND AVE W, SEATTLE, WA, 98199, UNITED STATES",MICHAEL J GARRISON,Active
MICHAEL JACKSON LLC,604 335 550,WA LIMITED LIABILITY COMPANY,"218 MAIN ST # 552, KIRKLAND, WA, 98033-6108, UNITED STATES",MICHAEL JACKSON,Delinquent
"MICHAEL JOHNSON CONSULTING, LLC",603 317 518,WA LIMITED LIABILITY COMPANY,"2307 WEST YAKIMA AVE, YAKIMA, WA, 98902, UNITED STATES",MICHAEL JOHNSON,Administratively Dissolved
"MICHAEL JOHNSON ENGINEERING, INCORPORATED",601 997 091,WA PROFIT CORPORATION,,MICHAEL M JOHNSON,Inactive
MICHAEL JOHNSON FOUNDATION FOR NUTRITIONAL RESEARCH,602 013 562,WA NONPROFIT CORPORATION,,TONY D PARKER,Inactive
MICHAEL JOHNSON IP LAW PC INC.,604 143 090,WA PROFESSIONAL SERVICE CORPORATION,"16530 162ND PLACE SE, RENTON, WA, 98058, UNITED STATES",MICHAEL JOHNSON,Administratively Dissolved
"MICHAEL K. GIBSON, P.S., A.I.A.",601 072 396,WA PROFESSIONAL SERVICE CORPORATION,"8475 NE EGLON RD, KINGSTON, WA, 98346, UNITED STATES",MICHAEL GIBSON,Active
"MICHAEL L. JOHNSON, CONTRACTOR, INC.",601 371 886,WA PROFIT CORPORATION,,MICHAEL L JOHNSON,Inactive
"MICHAEL L. JOHNSON, INC.",600 031 779,WA PROFIT CORPORATION,"3852 S 74TH ST, TACOMA, WA, 98409-1045, UNITED STATES",MICHAEL L JOHNSON,Active
"MICHAEL L. OLSON, PH.D., INC. P.S.",601 674 037,WA PROFESSIONAL SERVICE CORPORATION,"5108 196TH ST SW STE 208, LYNNWOOD, WA, 98036-6152, UNITED STATES",MICHAEL OLSON,Active
"MICHAEL M. ERICKSON CONSTRUCTION, INC.",600 356 880,WA PROFIT CORPORATION,,MICHAEL M ERICKSON,Inactive
"MICHAEL M. JOHNSON, LLC",602 546 624,WA LIMITED LIABILITY COMPANY,,MICHAEL M JOHNSON,Inactive
"MICHAEL M. MOHANDESON, M.D., P.S.",601 539 342,WA PROFESSIONAL SERVICE CORPORATION,,MICHAEL MMOHANDESON MD,Administratively Dissolved
"MICHAEL MORRISON PRODUCTIONS, INC.",601 622 788,FOREIGN PROFIT CORPORATION,"45877 DIVISION ST UNIT B, CONCRETE, WA, 98237-9707, UNITED STATES",MICHAEL F MORRISON,Active
MICHAEL PERSON FOUNDATION,603 564 676,WA NONPROFIT CORPORATION,"13701 42ND AVE NE, SEATTLE, WA, 98125, UNITED STATES",CAMERON FOSTER,Administratively Dissolved
MICHAEL PETERSON PAINTING INC,603 025 185,FOREIGN PROFIT CORPORATION,"2607 LAFAVE ST, WEST LINN, OR, 97068, UNITED STATES",ROBERT PETERSON,Terminated
"MICHAEL R. ELLISON, INC.",601 243 341,WA PROFIT CORPORATION,,C T CORPORATION SYSTEM,Inactive
"MICHAEL R. JACKSON, M.D., P.S.",603 157 444,WA PROFESSIONAL SERVICE CORPORATION,"5350 ORCHARD ST W. SUITE 202, SUITE 202, UNIVERSITY PLACE, WA, 98467, UNITED STATES","MICHAEL R. JACKSON, MD, PS",Active
"MICHAEL R. JOHNSON, INC.",600 260 794,WA PROFIT CORPORATION,,,Inactive
"MICHAEL R. JORGENSON, D.D.S., P.S.",603 193 926,WA PROFESSIONAL SERVICE CORPORATION,"3628 MERIDIAN ST, SUITE 1-C, BELLINGHAM, WA, 98225-1735, UNITED STATES",SCOTT C HENDERSON,Active
"MICHAEL R. KELSON, D.D.S., PLLC",602 201 012,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"3624 ENSIGN RD NE, OLYMPIA, WA, 98506-5074, UNITED STATES",MICHAEL R KELSON,Active
"MICHAEL R. THRONSON, P.S.",602 566 272,WA PROFESSIONAL SERVICE CORPORATION,"601 WEST RIVERSIDE STE 1800, SPOKANE, WA, 99201, UNITED STATES",JERRI ECKMANN,Active
"MICHAEL RICHARDSON CUSTOM CONTRACTOR, INC.",602 619 251,WA PROFIT CORPORATION,"15300 THAYER RD, OREGON CITY, OR, 97045-9378, UNITED STATES","HUBCO REGISTERED AGENT SERVICES, INC.",Active
"MICHAEL S. CARLSON, M.D., P.S.",600 513 454,WA PROFESSIONAL SERVICE CORPORATION,,MICHAEL S CARLSON MD,Inactive
"MICHAEL S. NELSON RETIREMENT PLANNING, INC",603 314 878,WA PROFIT CORPORATION,"17708 50TH ST E, LAKE TAPPS, WA, 98391, UNITED STATES","NORTHWEST REGISTERED AGENT, LLC",Active
"MICHAEL TENISON, M.D., PS",602 551 102,WA PROFESSIONAL SERVICE CORPORATION,"719 S QUAY PL, KENNEWICK, WA, 99336, UNITED STATES",WILLIAM HAMES,Administratively Dissolved
"MICHAEL TOLLESON ARTIST, LLC",603 525 953,WA LIMITED LIABILITY COMPANY,"205 1ST AVE S, KENT, WA, 98032, UNITED STATES",MICHAEL TOLLESON,Administratively Dissolved
MICHAEL TOLLESON SAVANT LLC,603 346 232,WA LIMITED LIABILITY COMPANY,"317 S BENNETT ST, SEATTLE, WA, 98108, UNITED STATES",UNITED STATES CORPORATION AGENTS INC,Administratively Dissolved
"MICHAEL TOMLINSON TRUCKING, LLC",602 874 709,WA LIMITED LIABILITY COMPANY,"21 PINE DROP DR, WASHOUGAL, WA, 98671, UNITED STATES",PRESIDENT,Active
MICHAEL TORGERSON'S FINE FINSHES LLC,604 261 262,FOREIGN LIMITED LIABILITY COMPANY,"9090 SW 82ND AVE, PORTLAND, OR, 97223-1202, UNITED STATES",WASHINGTON REGISTERED AGENT LLC,Active
MICHAEL W. EPPERSON LLC,604 336 691,WA LIMITED LIABILITY COMPANY,"4320 LEAVELLE ST NW, OLYMPIA, WA, 98502-3639, UNITED STATES",MICHAEL W EPPERSON,Delinquent
"MICHAEL W. JOHNSON, DDS, MS, PS",603 525 714,WA PROFESSIONAL SERVICE CORPORATION,"1370 116TH AVE NE #212, BELLEVUE, WA, 98004, UNITED STATES",SCOTT C. HENDERSON,Active
MICHAEL WARD MASONRY LLC,602 720 153,FOREIGN LIMITED LIABILITY COMPANY,"21999 SE BORGES RD, DAMASCUS, OR, 97089, UNITED STATES",GREGORY WALLS,Terminated
MICHAEL WASSON DDS PLLC,603 445 002,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"4115 ROOSEVELT WAY NE STE A, SEATTLE, WA, 98105-6473, UNITED STATES",MICHAEL WASSON,Active
"MICHAEL WILSON & ASSOCIATES, HEALTHCARE CONSULTING, L.L.C.",602 949 919,WA LIMITED LIABILITY COMPANY,"1228 E OVERBLUFF RD, SPOKANE, WA, 99203-3453, UNITED STATES",MICHAEL D WILSON,Active
MICHAELSON CONSULTING LAW OFFICE ACCOUNTEAM LLC,602 887 951,WA LIMITED LIABILITY COMPANY,"9105 WINONA ST SW, LAKEWOOD, WA, 98498, UNITED STATES",WILKA C MICHAELSON,Administratively Dissolved
"MICHAELSON CONSULTING, LLC",602 485 890,WA LIMITED LIABILITY COMPANY,"9503 188TH ST SW, LYNNWOOD, WA, 98037, UNITED STATES",ROBERT E. MICHAELSON,Inactive
MICHAELSON CORPORATION,601 965 675,WA PROFIT CORPORATION,,MICHAEL J SWEAZEY,Inactive
"MICHAELSON GLEGHORN INVESTMENTS, LLC",603 075 618,WA LIMITED LIABILITY COMPANY,"18709 33RD AVENUE SE, BOTHELL, WA, 98012, UNITED STATES",JOEL GLEGHORN,Administratively Dissolved
"MICHAELSON GLOBAL, INC.",602 478 625,WA PROFIT CORPORATION,"2142 N 90TH ST, KIRKLAND, WA, 98103, UNITED STATES",JAMES E DICKMEYER,Administratively Dissolved
MICHAELSON LLC,602 106 007,WA LIMITED LIABILITY COMPANY,"19310 3RD AVE NW, SHORELINE, WA, 98177-3013, UNITED STATES",MIKE SWEAZEY,Active
MICHAELSON MOTORS LLC,602 850 115,WA LIMITED LIABILITY COMPANY,"14903 NE CAPLES ROAD, BRUSH PRAIRIE, WA, 98606, UNITED STATES",ANN'ETTE PEDIGO,Administratively Dissolved
"MICHAELSON NW, INC.",602 024 638,WA PROFIT CORPORATION,,GURNIK AND COMPANY INC,Inactive
MICHALSON DEVELOPMENTS CORP.,601 113 438,WA PROFIT CORPORATION,,,Inactive
"MICHEL HANSON, PHYSICAL THERAPIST PLLC",603 084 398,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"708 POPLAR DR #5, BELLINGHAM, WA, 98226, UNITED STATES",MICHEL L HANSON,Administratively Dissolved
MICHELE CLARKE-MASON NTP INCORPORATED,603 492 040,WA PROFIT CORPORATION,"1503 SW 130TH ST, BURIEN, WA, 98146, UNITED STATES",MICHELE CLARKE-MASON,Active
"MICHELE HASSON, LLC",602 519 634,WA LIMITED LIABILITY COMPANY,"1425 WESTERN AVE #409, SEATTLE, WA, 98101, UNITED STATES",MICHELE HASSON,Voluntarily Dissolved
"MICHELE L. JASPERSON INSURANCE AGENCY, INC.",602 706 162,WA PROFIT CORPORATION,"514 S COLUMBUS AVE, GOLDENDALE, WA, 98620-9051, UNITED STATES",MICHELE L JASPERSON,Active
"MICHELE M. ANDERSON, D.D.S., P.S.",602 568 791,WA PROFESSIONAL SERVICE CORPORATION,"409 W MAIN ST, KELSO, WA, 98626, UNITED STATES",MICHELE M ANDERSON,Active
"MICHELE M. THOMPSON, M.D. LLC",603 582 542,WA LIMITED LIABILITY COMPANY,"1499 SE TECH CENTER PL STE 135, VANCOUVER, WA, 98683-5529, UNITED STATES",MICHELE THOMPSON,Active
"MICHELLE B. NELSON, INC. P.S.",602 701 000,WA PROFESSIONAL SERVICE CORPORATION,"33650 6TH AVE S, SUITE 230, FEDERAL WAY, WA, 98003-6755, UNITED STATES",MPBA SERVICE COMPANY LLC,Active
"MICHELLE B. THOMPSON, D.O., INC., P.C.",604 457 382,WA PROFESSIONAL SERVICE CORPORATION,"406 BLACK HILLS LN SW STE A, OLYMPIA, WA, 98502-8144, UNITED STATES",DAVID D CULLEN,Active
"MICHELLE GISLASON, INC.",604 090 626,WA PROFIT CORPORATION,"807B NW 97TH ST, SEATTLE, WA, 98117, UNITED STATES",RYAN GEORGES,Active
MICHELLE JUDSON LLC,603 512 532,WA LIMITED LIABILITY COMPANY,"2297 TUTTLE LANE, LUMMI ISLAND, WA, 98262, UNITED STATES",MICHELLE JUDSON,Active
"MICHELLE KAY ANDERSON, LLC",604 503 356,WA LIMITED LIABILITY COMPANY,"321 HIGH SCHOOL RD NE STE D3 # 243, BAINBRIDGE IS, WA, 98110-2648, UNITED STATES",JASON ANDERSON,Active
"MICHELLE KNUDSON PHOTOGRAPHY, LLC",603 278 352,WA LIMITED LIABILITY COMPANY,"18410 RAINIER VIEW RD SE, MONROE, WA, 98272, UNITED STATES",MICHELLE EBERTS KNUDSON,Administratively Dissolved
"MICHELLE LORENSON AGENCY, LLC",604 060 008,WA LIMITED LIABILITY COMPANY,"18801 VETERAN'S MEMORIAL DR E, BONNEY LAKE, WA, 98391, UNITED STATES","LAW OFFICE OF KARLA E. ROOD, LLC",Administratively Dissolved
"MICHELLE M WILSON A.I.A, PLLC DBA MICHELLE M WILSON A.I.A. LLC",604 083 740,FOREIGN LIMITED LIABILITY COMPANY,"2900 N GOVERNMENT WAY #322, COEUR D ALENE, ID, 83815, UNITED STATES",HOLT LAW OFFICE,Terminated
"MICHELLE PETERSON LAW, PLLC",603 445 619,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1420 5TH AVE STE 2200, SEATTLE, WA, 98101-1346, UNITED STATES",MICHELLE PETERSON,Delinquent
"MICHELLE RICHARDSON, INC.",603 550 465,WA PROFIT CORPORATION,"5209 36TH AVE SW, SEATTLE, WA, 98126, UNITED STATES","UNITED STATES CORPORATION AGENTS, INC.",Administratively Dissolved
"MICHELLE THORSON, LLC",602 612 186,WA LIMITED LIABILITY COMPANY,"6412 S 144TH STREET, SEATTLE, WA, 98168, UNITED STATES",MICHELLE THORSON,Inactive
MICHELSON AND ASSOCIATES LLC,602 929 898,WA LIMITED LIABILITY COMPANY,"702 S HILL PARK DR #202, PUYALLUP, WA, 98373, UNITED STATES",JEFFREY MICHELSON,Inactive
"MICHELSON COMMERCIAL MANAGEMENT AND LEASING, L.L.C.",602 985 704,WA LIMITED LIABILITY COMPANY,"7701 FORSYTH BLVD STE 900, SAINT LOUIS, MO, 63105-1840, UNITED STATES",COGENCY GLOBAL INC.,Active
"MICHELSON COMMERCIAL REALTY AND DEVELOPMENT, L.L.C.",602 391 923,FOREIGN LIMITED LIABILITY COMPANY,"7701 FORSYTH BLVD #900, SAINT LOUIS, MO, 63105, UNITED STATES",COGENCY GLOBAL INC.,Active
MICHELSON GROUP INC.,604 225 827,WA PROFIT CORPORATION,"12837 PACIFIC HWY SW, LAKEWOOD, WA, 98499-1030, UNITED STATES",MICHELSON GROUP,Administratively Dissolved
"MICHELSON KNAPP LAND VENTURES I, LLC",602 349 260,FOREIGN LIMITED LIABILITY COMPANY,"7701 FORSYTH BLVD STE 900, CLAYTON, MO, 63105-1840, UNITED STATES",CORPORATION SERVICE COMPANY,Active
MICHELSON PUYALLUP PARTNERS LLC,603 551 730,FOREIGN LIMITED LIABILITY COMPANY,"7701 FORSYTH BLVD #900, SAINT LOUIS, MO, 63105, UNITED STATES",COGENCY GLOBAL INC.,Active
MICHELSON REALTY COMPANY,601 377 824,FOREIGN PROFIT CORPORATION,,C T CORPORATION SYSTEM,Terminated
"MICHELSON STEEL & SUPPLY, INC.",600 425 560,WA PROFIT CORPORATION,"3126 HILL AVE, EVERETT, WA, 98201-4519, UNITED STATES",LLC MANAGEMENT SERVICES LLC,Active
MICHELSON WASHINGTON LAND PARTNERS LLC,602 349 362,FOREIGN LIMITED LIABILITY COMPANY,"7701 FORSYTH BLVD STE 900, CLAYTON, MO, 63105, UNITED STATES",COGENCY GLOBAL INC.,Active
"MICHELSON-TUMWATER, WA, L.L.C.",602 666 602,FOREIGN LIMITED LIABILITY COMPANY,"7701 FORSYTH #900, CLAYTON, MO, 63105, UNITED STATES",COGENCY GLOBAL INC.,Terminated
MICHELSONS LLC,602 862 795,WA LIMITED LIABILITY COMPANY,"10 CUTTER LN, PORT LUDLOW, WA, 98365, UNITED STATES",CHRISTOPHER MICHELSONS,Administratively Dissolved
"MICK ANDERSON, INC.",604 366 782,WA PROFIT CORPORATION,"5768 155TH AVE SE, BELLEVUE, WA, 98006-5118, UNITED STATES",BRETT N WIESE,Active
MICK BRYSON CORP.,602 771 760,WA PROFIT CORPORATION,,MILTON SBRYSON,Administratively Dissolved
MICKALSON NATIONAL DRILLING CORPORATION,602 681 321,WA PROFIT CORPORATION,"1673 SAGEWOOD ST, RICHLAND, WA, 99352, UNITED STATES",TOBY W MICKALSON,Inactive
"MICKELSEN & SONS, LLC",604 034 304,WA LIMITED LIABILITY COMPANY,"N 10819 NINE MILE RD, NINE MILE FALLS, WA, 99026, UNITED STATES",KAYLA GOYETTE,Voluntarily Dissolved
"MICKELSON & COMPANY, P.S.",600 402 628,WA PROFESSIONAL SERVICE CORPORATION,"2518 BRIDGEPORT WAY W, UNIVERSITY PL, WA, 98466-4718, UNITED STATES",DAVID E MICKELSON,Active
"MICKELSON & SELLERS CPA'S, LLC",602 673 061,WA LIMITED LIABILITY COMPANY,"9712 128TH ST EAST, PUYALLUP, WA, 98373, UNITED STATES",DAVID MICKELSON,Inactive
"MICKELSON APARTMENTS, LLC",601 922 679,WA LIMITED LIABILITY COMPANY,,STEPHEN H MICKELSON,Inactive
"MICKELSON ASSET MANAGERS, LLC",602 832 619,WA LIMITED LIABILITY COMPANY,"22525 SE 64TH PLACE, SUITE 266, ISSAQUAH, WA, 98027, UNITED STATES",LOUISE MICKELSON,Inactive
MICKELSON CABINETS LLC,604 036 494,WA LIMITED LIABILITY COMPANY,"225 N ELLA RD, SUITE C, SPOKANE VLY, WA, 99212-2947, UNITED STATES","WASHINGTON REGISTERED AGENT, LLC.",Delinquent
"MICKELSON COATINGS, L.L.C.",602 040 300,WA LIMITED LIABILITY COMPANY,,JAMES L VARNELL,Inactive
MICKELSON CONSTRUCTION INC.,601 923 004,WA PROFIT CORPORATION,"37213 NE 234TH AVE, YACOLT, WA, 98675-4811, UNITED STATES",BRIDGET LAMPINEN,Active
MICKELSON FAMILY L.L.C.,601 839 496,WA LIMITED LIABILITY COMPANY,,LBP SERVICES LLC,Administratively Dissolved
"MICKELSON FINE ARTS, INC.",601 189 707,WA PROFIT CORPORATION,,ARLENE JO MICKELSON,Administratively Dissolved
MICKELSON INDUSTRIES ,,NAME RESERVATION,,,Expired
MICKELSON LANDHOLDING LLC,604 480 499,WA LIMITED LIABILITY COMPANY,"11711 PELICAN RD, PASCO, WA, 99301-9826, UNITED STATES",SUE-ANN MICKELSON,Active
MICKELSON PROPERTIES LLC,603 156 412,WA LIMITED LIABILITY COMPANY,"205 LAKE ST S #100, KIRKLAND, WA, 98033, UNITED STATES",ADAM MICKELSON,Administratively Dissolved
"MICKELSON/KINNEY, LLC",602 770 222,WA LIMITED LIABILITY COMPANY,"2009 S OVERBLUFF ESTATES LANE, SPOKANE, WA, 99203, UNITED STATES",PETER WITHERSPOON,Administratively Dissolved
"MICKEY LEE MASONRY, LLC",603 243 984,WA LIMITED LIABILITY COMPANY,,MICKEY LEE,Administratively Dissolved
MICKEY MASON TRUCKING LLC,602 761 821,WA LIMITED LIABILITY COMPANY,"2605 WEST MAXWELL AVE, SPOKANE, WA, 99201, UNITED STATES",MICKEY MASON,Active
MICKEY THOMPSON PERFORMANCE RACING INC.,602 644 664,FOREIGN PROFIT CORPORATION,"701 LIMA AVENUE, FINDLAY, OH, 45840, UNITED STATES",C T CORPORATION SYSTEM,Active
"MIDDLE GROUND: COLLECTIVE WISDOM FOR PERSONAL HEALING, PLLC",602 754 067,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,TOM STEFFEN,Administratively Dissolved
"MIDDLE SON SERVICES, LLC",604 080 128,WA LIMITED LIABILITY COMPANY,"10103 NE 28TH PL, VANCOUVER, WA, 98686-4280, UNITED STATES",AMY REAMS,Active
MIDDLETON & PARSONS LLC,603 561 540,WA LIMITED LIABILITY COMPANY,"10721 EVERGREEN WAY S STE D, EVERETT, WA, 98204, UNITED STATES",KEVIN PARSONS,Active
"MIDDLETON SIX SONS FARMS, L.L.C.",602 682 345,WA LIMITED LIABILITY COMPANY,"1441 PASCO KAHLOTUS RD, PASCO, WA, 99301, UNITED STATES",KENNETH A MILLER,Active
MIDSTREAM LPG INC.,602 660 058,FOREIGN PROFIT CORPORATION,"6500 HARBOUR HEIGHTS PKWY STE 400, MUKILTEO, WA, 98275-4889, UNITED STATES",LPSL CORPORATE SERVICES INC,Active
MIDTOWN PERSONNEL INC.,604 392 559,FOREIGN PROFIT CORPORATION,"1130 CONNECTICUT AVE NW STE 1101, WASHINGTON, DC, 20036-3927, UNITED STATES",CORPORATION SERVICE COMPANY,Active
"MIDWEST MASONRY, LLC",604 180 796,WA LIMITED LIABILITY COMPANY,"2611 S 374TH PL, FEDERAL WAY, WA, 98003-7517, UNITED STATES",JEROME SCHMIDT,Voluntarily Dissolved
"MIDWEST PERSONNEL, INC.",602 355 377,FOREIGN PROFIT CORPORATION,"PO BOX 3124, OLATHE, KS, 66063",CT CORPORATION SYSTEM,Terminated
"MIESONG, LLC",602 829 073,WA LIMITED LIABILITY COMPANY,"407 16TH ST SW, PUYALLUP, WA, 98371-5661, UNITED STATES",BINH WONG,Active
MIJA & SON'S CONSTRUCTION SERVICES LLC,602 909 339,WA LIMITED LIABILITY COMPANY,"17112 118TH LN SE APT P201-W, RENTON, WA, 98058, UNITED STATES",JOSE A MIRAMONTES,Inactive
"MIKE & SANDI NELSON, L.L.C.",602 646 066,WA LIMITED LIABILITY COMPANY,"19410 8TH AVE NE, SUITE 101, POULSBO, WA, 98370-7379, UNITED STATES",SANDRA NELSON,Active
MIKE & SON AUTO SALES INC.,602 550 451,WA PROFIT CORPORATION,"1125 ORCHARD AVE, SNOHOMISH, WA, 98290, UNITED STATES",CAROLYN J BENNETT,Administratively Dissolved
MIKE & SONS PLUMBING LLC,602 573 489,WA LIMITED LIABILITY COMPANY,"16828 E 32ND AVE, GREENACRES, WA, 99016, UNITED STATES",MIHAIL PLAKSIN,Active
"MIKE AND SONS CONSTRUCTION, LLC",602 960 824,WA LIMITED LIABILITY COMPANY,"1810 PROSPECT ST, PO BOX 1061, RAYMOND, WA, 98577, UNITED STATES",ROBYN MITCHELL,Inactive
"MIKE ANDERSON COACHING, L.L.C.",603 555 551,WA LIMITED LIABILITY COMPANY,"2250 DOGWOOD ST, LYNDEN, WA, 98264, UNITED STATES",MICHAEL ANDERSON,Delinquent
"MIKE ANDERSON CONSTRUCTION, LLC",601 865 579,WA LIMITED LIABILITY COMPANY,"3626 65TH AVE SW, OLYMPIA, WA, 98512-7003, UNITED STATES",DAVID CULLEN,Active
"MIKE CACKA MASONRY, INC.",602 645 658,FOREIGN PROFIT CORPORATION,"770 S DOUGLAS ST, CANBY, OR, 97013, UNITED STATES",DONNA KELLAMS,Active
"MIKE CARLSON ENTERPRISES, INC.",601 326 189,WA PROFIT CORPORATION,"2165 W VALLEY RD, FRIDAY HARBOR, WA, 98250-9231, UNITED STATES",JULIA F CARLSON,Active
"MIKE CARLSON EXCAVATION AND CONSTRUCTION, LLC",602 785 078,WA LIMITED LIABILITY COMPANY,"31706 NE CHERRY VALLEY ROAD, DUVALL, WA, 98019, UNITED STATES",BETHANY CARLSON,Active
"MIKE COLBY & SONS, INC.",601 266 164,WA PROFIT CORPORATION,"1247 MONTANA AVE, RICHLAND, WA, 99352-4746, UNITED STATES",MICHAEL A COLBY,Active
MIKE COLLISON CUSTOM BUILDING INC,600 357 329,WA PROFIT CORPORATION,"411 BOSTON RD, ELLENSBURG, WA, 98926, UNITED STATES",MICHAEL J COLLISON,Active
MIKE COLLISON ENTERTPRISES 1 LLC,604 009 044,WA LIMITED LIABILITY COMPANY,"411 BOSTON RD, ELLENSBURG, WA, 98926, UNITED STATES",MIKE COLLISON,Administratively Dissolved
MIKE DICKSON FLYFISHING LLC,603 297 834,WA LIMITED LIABILITY COMPANY,"18812 20TH AVE NW, ARLINGTON, WA, 98223-2802, UNITED STATES",MIKE DICKSON,Active
MIKE DICKSON LAW PLLC,604 497 775,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"4319 SW 320TH PL, FEDERAL WAY, WA, 98023-2428, UNITED STATES",MICHAEL DICKSON,Active
"MIKE HARRISON CONSTRUCTION, L.L.C.",602 387 745,WA LIMITED LIABILITY COMPANY,"4853 N PEARL ST, TACOMA, WA, 98407, UNITED STATES",MERRILEE MUSSIG,Administratively Dissolved
MIKE JACKSON VOICE-OVERS LLC,604 199 707,WA LIMITED LIABILITY COMPANY,"17112 NE 37TH CIR, VANCOUVER, WA, 98682-8650, UNITED STATES",MIKE JACKSON,Active
"MIKE JOHNSON EXCAVATION, L.L.C.",602 809 386,WA LIMITED LIABILITY COMPANY,"661 NEWTON RD, WALLA WALLA, WA, 99362, UNITED STATES",DAVID SGROSSMAN,Administratively Dissolved
"MIKE JOHNSON, D.M.D., P.L.L.C.",604 264 210,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"2345 SW 320TH ST, FEDERAL WAY, WA, 98023-2568, UNITED STATES",MIKE JOHNSON,Active
"MIKE M. JOHNSON, INCORPORATED",601 410 884,WA PROFIT CORPORATION,,MIKE M JOHNSON,Inactive
MIKE MARTINSON DRYWALL LLC,604 179 826,WA LIMITED LIABILITY COMPANY,"1525 5TH ST NE, EAST WENATCHEE, WA, 98802-6078, UNITED STATES",MICHAEL MARTINSON,Active
"MIKE MEZA AND SONS TRUCKING, INC.",601 875 699,FOREIGN PROFIT CORPORATION,,NANCY MEZA,Terminated
"MIKE OLSON DODGE, INC.",601 367 448,WA PROFIT CORPORATION,"1710 S 1ST ST, YAKIMA, WA, 98901-3704, UNITED STATES","MIKE OLSON DODGE, INC",Active
"MIKE PETERSON CONSTRUCTION, INC.",603 445 068,WA PROFIT CORPORATION,"980 AMERICAN PACIFIC DR #106, HENDERSON, NV, 89014",C T CORPORATION SYSTEM,Administratively Dissolved
"MIKE R. JOHNSON INSURANCE AGENCY, INC.",602 561 076,WA PROFIT CORPORATION,"21620 84TH AVE S, KENT, WA, 98032, UNITED STATES",MIKE JOHNSON,Administratively Dissolved
"MIKE REYNOLDSON CONSULTING, LLC",604 085 126,WA LIMITED LIABILITY COMPANY,"103 KALAMA RIVER RD, KALAMA, WA, 98625, UNITED STATES",MICHAEL REYNOLDSON,Active
"MIKE ROBINSON CONSTRUCTION, LLC",602 476 874,WA LIMITED LIABILITY COMPANY,,MICHAEL JOSEPH ROBINSON,Administratively Dissolved
"MIKE SWANSON, PPC. LIMITED LIABILITY COMPANY",603 025 476,WA LIMITED LIABILITY COMPANY,"808 RYAN ROAD, PO BOX 914, BUCKLEY, WA, 98321, UNITED STATES",JACKIE SWANSON,Active
MIKE THOMPSON LLC,602 612 943,WA LIMITED LIABILITY COMPANY,"3107 W NORTHWEST BLVD, SPOKANE, WA, 99205, UNITED STATES",MIKE THOMPSON,Administratively Dissolved
MIKE TORREZ & SONS INC,604 441 597,WA PROFIT CORPORATION,"705 6TH AVE, GRANGER, WA, 98932-9513, UNITED STATES",MIGUEL G TORREZ JR,Active
MIKEANDERSON INCORPORATED,602 612 296,WA PROFIT CORPORATION,"1535 NE 168TH ST 6, SHORELINE, WA, 98155, UNITED STATES",MIKE ANDERSON,Inactive
"MIKELSON INDUSTRIAL SUPPLY, INC.",600 134 198,WA PROFIT CORPORATION,,ARLENE J MIKELSON,Inactive
"MIKELSONS, LLC",604 410 748,WA LIMITED LIABILITY COMPANY,"108 UNION CT NE, RENTON, WA, 98059-5239, UNITED STATES",MARY LOU MIKELSONS,Active
"MIKKELSON LAW, PLLC",603 137 997,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"5757 CAPITOL BLVD SW, TUMWATER, WA, 98501-4652, UNITED STATES",LISA KAY MIKKELSON,Delinquent
MIL'S SON & SON HOUSEKEEPING LLC,604 420 254,WA LIMITED LIABILITY COMPANY,"8321 ZIRCON DR SW UNIT 12, LAKEWOOD, WA, 98498-5101, UNITED STATES",NICOLAE PLOSNITA,Active
"MILAM-MORRISON, LLC",602 971 641,WA LIMITED LIABILITY COMPANY,"414 124TH PL SE, EVERETT, WA, 98208, UNITED STATES","NATIONAL REGISTERED AGENTS, INC.",Administratively Dissolved
"MILES & SONS, INC.",602 886 796,WA PROFIT CORPORATION,"1748 HIGHWAY 508, ONALASKA, WA, 98570, UNITED STATES",VICKY MILES,Active
MILES MASON LIMITED,601 771 399,WA PROFIT CORPORATION,,JOHN J SWANER,Inactive
