Business Name,Business ID,Business Type,Principal Business Office Address,Registered Agent Name,Fiscal Year Month,Status
MEALS ON-LINE,207679,Trade Name,"PO BOX 877, WAITSFIELD, VT, 05673, USA",NONE,,Inactive
MED-LAW PERSONNEL SERVICES,202543,Trade Name,"POB 575, MILTON, VT, 05468, USA",NONE,,Inactive
"MED-LAW PERSONNEL SERVICES, INC.",111632,Domestic Profit Corporation,"233 ROLLIN IRISH ROAD, MILTON, VT, 05468, USA",KIMBERLY MARTIN,12,Inactive
MED-TEMP PERSONNEL,274399,Trade Name,"101 CROSS STREET, BENNINGTON, VT, 05201, USA",NONE,,Inactive
"MEDICS ON MISSIONS GLOBAL, INC",346351,Domestic Non-profit Corporation,"112 N Main St, Suite 5, Saint Albans, VT, 05478, USA",Maurice Lavallee,,Active
MEGAN AND JASON COMPANY INC.,127466,Domestic Profit Corporation,NONE,MEGAN VAILLANCOURT,12,Inactive
"MELANSON ASSOCIATES, INC..",48864,Domestic Profit Corporation,"15 E. ALLEN ST., WINOOSKI, VT, 05404, USA",JULIA MELANSON,12,Dissolved
MELANSON ROOFING,272695,Trade Name,"PO BOX 807, RUTLAND, VT, 05702, USA",GARY KUPFERER,,Expiration Pending
"MELANSON ROOFING COMPANY, INC.",67309,Domestic Profit Corporation,"5 OLD FERRY ROAD, BOW, NH, 03304, USA","A. C. HATHORNE CO., INC.",12,Dissolved
"MELANSON, GREENWOOD & COMPANY, P.C.",63926,Foreign Profit Corporation,"11 TRAFALGAR SQUARE, NASHUA, NH, 03063, USA",LAURA BLANDIN,6,Inactive
"MELANSON, HEATH + COMPANY P.C.",80909,Foreign Profit Corporation,"102 Perimeter Rd, Nashua, NH, 03063, USA",LAURA BLANDIN,12,Active
"MELDISCO/RA 9 SUSIE WILSON ROAD VT., INC.",121720,Domestic Profit Corporation,NONE,CORPORATION SERVICE COMPANY,12,Inactive
MELEN AND SONS,259377,Trade Name,"5 NELSON PL, RUTLAND, VT, 05701, USA",NONE,,Inactive
MELEN AND SONS,301998,Trade Name,"5 Nelson Pl, Rutland, VT, 05701, USA",Jon P Melen Jr,,Active
"MEMBERS ONLY NETWORK, INC.",134038,Name Reservation,"1601 ELM STREET/#3700, DALLAS, TX, 75201, USA",NONE,,Expired
MENARD & SONS UNDERGROUND UTILITIES CONTRACTOR,195121,Trade Name,"33 CHARLES ST., S. BURLINGTON, VT, 05403, USA",NONE,,Expired
"MENARD & SONS UNDERGROUND UTILITIES CONTRACTOR, INC.",109978,Domestic Profit Corporation,"111 AVENUE A, WILLISTON, VT, 05495, USA",MCCORMICK FITZPATRICK KASPER,3,Active
MENU'S ON THE MOVE,160366,Trade Name,"364 SO. WINOOSKI AVE, BURLINGTON, VT, 05401, USA",NONE,,Inactive
MENUS ON-LINE,207680,Trade Name,"PO BOX 877, WAITSFIELD, VT, 05673, USA",NONE,,Inactive
MERCHANT'S & SONS LLC,289795,Domestic Limited Liability Company,"225 HUNTINGTON WOOD RD, HUNTINGTON, VT, 05462, USA",TAMMY MERCHANT,12,Terminated
MERCY'S MOUNTAINSIDE MASONRY,298823,Trade Name,"30 Corina ct, williston, VT, 05495, USA",Wesley mercy,,Active
"MEREDITH A. LARSON, PSY.D.",239891,Trade Name,"PO BOX 207, WESTON, VT, 05161, USA",NONE,,Inactive
"MEREDITH M. HARRISON, DVM, P.C.",120242,Domestic Profit Corporation,"WOODSTOCK, VT, 05091, USA",MEREDITH M. HARRISON DVM,12,Dissolved
MERRILEE PERSONS POULTRY,178114,Trade Name,"KATE BROOK RD., HARDWICK, VT, 05843, USA",NONE,,Inactive
"MERRITT PERSONNAFAX, INC.",67155,Foreign Profit Corporation,"2622 NORTH STREET, NEW HAVEN, VT, 05472, USA",MARGARET MERRITT,12,Inactive
MESICK COHEN WILSON BAKER ARCHITECTS,224142,Trade Name,"388 Broadway, ALBANY, NY, 12207, USA",LAURA BLANDIN,,Active
"MEUB GALLIVAN & LARSON, ATTORNEYS, PLC",310352,Domestic Professional Limited Liability Company,"65 Grove Street, Rutland, VT, 05701, USA",Erin H. Gallivan,12,Active
"MEYER, BORGMAN & JOHNSON, INC.",281773,Foreign Profit Corporation,"510 Marquette Avenue, Suite 900, Minneapolis, MN, 55402, USA",CORPORATION SERVICE COMPANY,9,Active
"MFS DOMESTIC PERSONNEL, INC.",66540,Foreign Profit Corporation,"500 CLINTON CENTRE DRI, CLINTON, MS, 39056, USA","NATIONAL REGISTERED AGENTS, INC.",12,Withdrawn
MH & SON CONSTRUCTION,211316,Trade Name,"368 CORLEY RD, WOLCOTT, VT, 05680, USA",JEFF HARRISON,,Active
MH & SON CONSTRUCTION,253409,Trade Name,"804 CORLEY RD, WOLCOTT, VT, 05680, USA",NONE,,Inactive
MICELI'S PERSONAL CHEFS SERVICE LLC,302001,Domestic Limited Liability Company,"601, old stagecoach rd, west newbury, VT, 05085, USA",gary miceli,12,Dissolved
MICHAEL A. MARSHA & SONS TRANSPORT,150331,Trade Name,"8481 Route 5 South, Bradford, VT, 05033, USA",michael a marsha,,Active
MICHAEL A. MARSHA & SONS TRANSPORT,175903,Trade Name,"EAST HIGHGATE, VT, USA",NONE,,Inactive
MICHAEL A. MARSHA & SONS TRANSPORT LLC,25806,Domestic Limited Liability Company,"8481 Route 5 South, Bradford, VT, 05033, USA",MICHAEL MARSHA,12,Active
"MICHAEL ANDERSON & ASSOCIATES, LLC",17537,Domestic Limited Liability Company,"3825 ETHAN ALLEN HIGHWAY, CHARLOTTE, VT, 05445, USA","Vermont Attorney Registered Agent Services, LLC",12,Dissolved
"MICHAEL H. MASON, MD, LLC",19537,Domestic Limited Liability Company,"286 HOSPITAL LOOP, BERLIN, VT, 05602, USA",MICHAEL H MASON MD,12,Dissolved
"MICHAEL J. JANSON, LTD.",102729,Domestic Profit Corporation,"RD 1, BOX 3932, SWANTON, VT, 05488, USA",MICHAEL J. JANSON,12,Inactive
"MICHAEL LAMSON REAL ESTATE APPRAISAL, PLLC",280215,Domestic Professional Limited Liability Company,"17 Mountain Road, MIDDLETOWN SPR, VT, 05757, USA",MICHAEL LAMSON,12,Active
"MICHAEL R. DICK, DMD AND SONIA CH YAU, DDS, DENTAL PRACTICE",294860,Trade Name,"240 Stratton Rd, Rutland, VT, 05701, USA","sonia ch yau, plc",,Active
"MICHAEL R. LAWSON, LLC",9074,Domestic Limited Liability Company,"459 DANVILLE HILL Road, CABOT, VT, 05647, USA",MICHAEL LAWSON,12,Active
"MICHAEL THOMPSON CONSTRUCTION, LLC",328715,Domestic Limited Liability Company,"170 Benedict Rd, East Dorset, VT, 05253, USA",Michael Thompson (East Dorset),12,Terminated
MICHAEL WILSON WOODWORKING,184585,Trade Name,"700 OLD CONNECTICUT, SPRINGFIELD, VT, 05156, USA",NONE,,Inactive
"MICHAEL WILSON WOODWORKING, LLC",288176,Domestic Limited Liability Company,"1275 CONNECTICUT RIVER R, SPRINGFIELD, VT, 05156, USA",MICHAEL E. WILSON,12,Active
MICHAEL'S ON THE HILL,185003,Trade Name,"4182 waterbury stowe road, Waterbury Center, VT, 05677, USA",MICHAEL KLOETI,,Active
"MICHAEL'S ON THE HILL, INC.",122686,Domestic Profit Corporation,"4182 Waterbury Stowe Rd, Waterbury Center, VT, 05677, USA","RUSSELL D. BARR, ESQ.",12,Active
MICHAELSON MACE CORPORATION,129765,Domestic Profit Corporation,"1610 OLD RIVER ROAD, WHITE RIVER JC, VT, 05001, USA",THOMAS KETTERIDGE,12,Terminated
MICHELSON ENTERPRISES,253582,Trade Name,"6 FIFTH AVE, ST JOHNSBURY, VT, 05819, USA",NONE,,Inactive
"MID-HUDSON AUTOMATIC SPRINKLER CO., INC.",62802,Foreign Profit Corporation,"THREE TYCO PARK, EXETER, NH, 03833, USA",SAMUEL S. BLOOMBERG,12,Withdrawn
MID-VERMONT FOR ALL SEASONS,255928,Trade Name,"2 COURT STREET, MIDDLEBURY, VT, 05753, USA",NONE,,Inactive
MIGUELS ON MAIN,159403,Trade Name,"30 MAIN STREET #100, BURLINGTON, VT, 05401, USA",NONE,,Expired
"MIKE BOWEN & SON TRUCKING, INC.",113301,Domestic Profit Corporation,NONE,MICHAEL BOWEN,12,Inactive
MIKE COREY'S & SON,262759,Trade Name,"ENOSBURG FALLS, VT, USA",NONE,,Inactive
MIKE ERAMO MASONERY REPAIR AND WATERPROOFING,242450,Trade Name,"P.O. 103, GRANVILLE, VT, 05747, USA",NONE,,Inactive
MIKE ERAMO MASONRY,363391,Trade Name,"3522 North Hollow Rd, Granville, VT, 05747, USA",Mike Eramo,,Active
MIKE GLEASON AUTO DETAILING LLC,38500,Domestic Limited Liability Company,"468 VT RTE 103 SOUTH, CHESTER, VT, 05143, USA",MICHAEL L GLEASON,12,Inactive
MIKE HAMMER & SONS LOGGING CORPORATION,112601,Domestic Profit Corporation,NONE,DOWNS RACHLIN & MARTINRES. 11-6-96),12,Dissolved
"MIKE HAMMER AND SONS, LLC",27494,Domestic Limited Liability Company,"505 Maple Dr, WHITINGHAM, VT, 05361, USA",MICHAEL HAMMER,12,Active
MIKE KENNISON TRANSPORT,275355,Trade Name,"TROY TOWN, VT, USA",NONE,,Inactive
MILITARY PERSONNEL SERVICES CORPORATION,80418,Foreign Profit Corporation,"6066 LEESBURG PIKE, FALLS CHURCH, VA, 22041, USA","NATIONAL REGISTERED AGENTS, INC.",12,Terminated
MILLARD MASONRY,190510,Trade Name,"703 MAPLE ST, PERKINSVILLE, VT, 05151, USA",NONE,,Inactive
"MILLARD MASONRY, LLC",17609,Domestic Limited Liability Company,"703 MAPLE ST, PERKINSVILLE, VT, 05151, USA",STEPHEN S ANKUDA ESQ,12,Active
"MILLER, JOHNSON & KUEHN, INCORPORATED",64526,Foreign Profit Corporation,"1660 SOUTH HWY 100, MINNEAPOLIS, MN, 55416, USA",MARGE GILLIGAN,3,Inactive
"MILLS ALL SEASONS MANAGEMENT, INC.",117131,Domestic Profit Corporation,"62 MEADOW BROOK ROAD, RUTLAND, VT, 05701, USA",FRANK H ZETELSKI ESQ,12,Terminated
MILTON AREA CH #4260 OF AMERICAN ASSN OF RETIRED PERSONS INC,48436,Domestic Non-profit Corporation,"131 OLD U.S. 2, MILTON, VT, 05468, USA",IDA MAY GRAVELLE,,Dissolved
"MILTON H. ERICKSON INSTITUTE OF VERMONT, THE",214911,Trade Name,"26 COTTAGE ST., RUTLAND, VT, 05701, USA",NONE,,Inactive
MINISTRY OF THEE ANGELIC LIGHT SCHOOL FOR ASCENSON OF BODY,248878,Trade Name,"MIND AND SPIRIT, STOWE, VT, USA",JUDY LUNEAU,,Inactive
MINNUCCI MASONRY,235547,Trade Name,"PERU, VT, USA",NONE,,Inactive
MINUTE MAN MASONRY,218352,Trade Name,"CLARENDON, VT, 05759, USA",NONE,,Inactive
MIRANDA CLEMSON LLC,304151,Domestic Limited Liability Company,"93 Maurice Roberts Memorial Highway, Fairlee, VT, 05045, USA",Miranda Clemson,12,Active
MIRANDA HOLSON LLC,351498,Domestic Limited Liability Company,"87 Waterman Hill Rd, Quechee, VT, 05059, USA",Miranda Holson,12,Active
MISE EN PLACE CATERING/PERSONAL CHEF,217649,Trade Name,"PO BOX 203, TOWNSHEND, VT, 05353, USA",NONE,,Inactive
MITCH & SONS PAINTING,250393,Trade Name,"PO BOX 214, POWNAL, VT, 05261, USA",NONE,,Inactive
MITCH AND SON PAINTING AND CONTRUCTION LLC,4646,Domestic Limited Liability Company,"93 pace road, Bennington, VT, 05201, USA",MITCHELL HARRIS JR,12,Active
"MITSON, INC.",104465,Domestic Profit Corporation,"ESSEX JUNCTION, VT, 05452, USA",WILLIAM M. WILSON,12,Inactive
MJH STONE MASONRY,274901,Trade Name,"399 MONKTON ROAD, CHARLOTTE, VT, 05445, USA",NONE,,Inactive
MJH STONE MASONRY,360472,Trade Name,"903 Blanchard Rd, BRIDGEWATER, VT, 05034 - 2540, USA",Michelle Hough,,Active
MK-FERGUSON,277944,Trade Name,"ONE MORRISON KNUDSEN, BOISE, ID, 83712, USA",C T CORPORATION SYSTEM,,Inactive
MN&SONS LLC,320166,Domestic Limited Liability Company,"68 Forest Lane, Bradford, VT, 05033, USA",Michael Brown,12,Terminated
MOBBS MASONRY & LANDSCAPING,273273,Trade Name,"HINESBURG, VT, USA",NONE,,Inactive
MOBBS MASONRY & LANDSCAPING LLC,350586,Domestic Limited Liability Company,"2574 Baldwin Road, Hinesburg, VT, 05461, USA",Ryan Mobbs,12,Active
MOBILE OPTICAL SUSAN DESAMSONOW INDEPENDENT OPTICIAN,220444,Trade Name,"OLD ROUTE 7, POWNAL, VT, 05261, USA",NONE,,Inactive
"MOLSON USA, LLC",6778,Foreign Limited Liability Company,"1658 COLE BLVD BLDG 6, GOLDEN, CO, 80401, USA",CORPORATION SERVICE COMPANY,12,Inactive
MOM'S ON THE MOVE INVESTMENT CLUB,193501,Trade Name,"19 RIDGEWOOD TERRACE, BARRE, VT, 05641, USA",NONE,,Inactive
MONSON HOME BAKERY,241350,Trade Name,"1844 S HILL RD, LUDLOW, VT, 05149, USA",NONE,,Inactive
"MONTANY & MONTANY, A DIVISION OF JOHNSON & DIX",176122,Trade Name,"CHESTER DEPOT, VT, 05144, USA",NONE,,Inactive
"MONTGOMERY WATSON, INC.",134843,Name Reservation,"159 STATE ST., MONTPELIER, VT, 05602, USA",NONE,,Expired
MONTI PERKINS & SON LOGGING LLC,299176,Domestic Limited Liability Company,"509 East Hill Rd, Wardsboro, VT, 05355, USA",Monti Perkins,12,Active
MONTPELIER AREA CHAPTER #3266 AMERICAN ASSN RETIRED PERSONS,43528,Domestic Non-profit Corporation,"RFD 1 BOX 3840, MONTPELIER, VT, 05602, USA",CHARLOTTE KARR,,Dissolved
MOORE & THOMPSON PAPER,263778,Trade Name,"33 Bridge St, BELLOWS FALLS, VT, 05101 - 0142, USA","Stewart W. Read, Treasuer",,Active
MOORE AND THOMPSON PAPER COMPANY,169632,Trade Name,"PO BOX 142, BELLOWS FALLS, VT, 05101, USA",NONE,,Inactive
MORA MASONRY,224912,Trade Name,"76 MALLETTS BAY AVE, WINOOSKI, VT, 05404, USA",NONE,,Inactive
MOREL & SON SUB-CONTRACTING,167887,Trade Name,"85 JACKSON AVE, RUTLAND, VT, 05701, USA",NONE,,Inactive
"MORGAN & SON, INC.",78324,Domestic Profit Corporation,"6154 SANDHILL RD, MILTON, VT, 05468, USA",CALVIN MORGAN,12,Inactive
"MORGAN JOHNSON USA, INC.",119148,Domestic Profit Corporation,"22 SIMPSON ROAD, NORWICH, VT, 05055, USA","CURTIS L BOURDON, ESQ",12,Dissolved
"MORGAN, NELSON & ASSOCIATES",261796,Trade Name,"RFD #2, SO. ROYALTON, VT, 05068, USA",NONE,,Inactive
"MORIARTY AND SONS, INC.",78709,Domestic Profit Corporation,"SHAFTSBURY, VT, 05262, USA",DAVID MORIARTY,2,Dissolved
MORIN & SON AUTO,189073,Trade Name,"MAIN STREET, SOUTH BARRE, VT, 05670, USA",NONE,,Inactive
"MORISON SECURITIES, INC.",54393,Foreign Profit Corporation,"192 COLLEGE ST, BURLINGTON, VT, 05401, USA",C T CORPORATION SYSTEM,12,Inactive
"MORRIS & DICKSON CO., L.L.C.",336968,Foreign Limited Liability Company,"10301 Highway 1 South, Shreveport, LA, 71115, USA","INCORP SERVICES, INC.",12,Active
MORRIS MASONRY,285447,Trade Name,"5 BURR POND RD, SUDBURY, VT, 05733, USA",NONE,,Expired
MORRIS MASONRY INC,362797,Domestic Profit Corporation,"5 Burr Pond Road, Sudbury, VT, 05733, USA",James F Ingalls,12,Active
"MORRISON & CLARK RENTALS, LLC",32074,Domestic Limited Liability Company,"889 SO BARRE ROAD (RTE14, SOUTH BARRE, VT, 05670, USA",DAVID J CLARK,12,Active
MORRISON & TYSON COMMUNICATIONS,158616,Trade Name,"120 MAPLE ST BOX 737, BRATTLEBORO, VT, 05302, USA",NONE,,Inactive
MORRISON AUTO,169052,Trade Name,"PARKER ROAD, VERSHIRE, VT, 05079, USA",NONE,,Inactive
MORRISON BROS FARM,254209,Trade Name,"LEICESTER, VT, USA",NONE,,Expired
MORRISON BROTHERS,274444,Trade Name,"RD#1, BOX 282, LEICESTER, VT, 05769, USA",NONE,,Inactive
MORRISON CHEVROLET/CADILLAC,183913,Trade Name,"WEST MAIN STREET, BENNINGTON, VT, 05201, USA",ALAN H. MORRISON,,Inactive
"MORRISON DRY GOODS, LP",325525,Domestic Limited Partnership,"459 Spring Hill Road, waitsfield, VT, 05673, USA",Jennifer Morrison Whittingham,,Inactive
MORRISON ENGINEERING PC,82205,Foreign Profit Corporation,"705 NEW SALEM ROAD, VOORHEESVILLE, NY, 12186, USA",MAXX FARR,12,Terminated
"MORRISON ENTERPRISES, INC.",46214,Foreign Profit Corporation,"229 SOUTH ST. C/O PH, DOVER, DE, 19901, USA",JEANETTE BASSMANN,12,Withdrawn
MORRISON FARM LLC,282370,Domestic Limited Liability Company,"259 CARTER ST, BARNET, VT, 05821, USA",LESLIE E MORRISON,12,Active
MORRISON GUITAR CORPORATION,94121,Domestic Profit Corporation,"TOWN HWY. 38, SUTTON, VT, 05867, USA",CHARLES MORRISON,12,Dissolved
"MORRISON HERSHFIELD ARCHITECTS, P.A.",320043,Foreign Profit Corporation,"1455 Lincoln Parkway, Suite 500, Atlanta, GA, 30346, USA",CAPITOL CORPORATE SERVICES INC,9,Active
"MORRISON HERSHFIELD ENGINEERS, P.A.",320087,Foreign Profit Corporation,"1455 Lincoln Parkway, Suite 500, Atlanta, GA, 30346, USA",CAPITOL CORPORATE SERVICES INC,9,Active
MORRISON HILL RANCH CORPORATION,87005,Domestic Non-profit Corporation,"664 FERGUSON RD, BARNET, VT, 05821, USA",WILLIAM N. DUNKLEE,,Dissolved
"MORRISON INDUSTRIAL, LLC",365148,Foreign Limited Liability Company,"1825 Monroe Avenue, N.W., Grand Rapids, MI, 49505, USA",CORPORATION SERVICE COMPANY,12,Active
MORRISON LANDSCAPE AND CONSTRUCTION,190642,Trade Name,"PO BOX 123-89 FAIRVI, NEW HAVEN, VT, 05472, USA",NONE,,Expired
MORRISON LANDSCAPE CONSTRUCTION,213452,Trade Name,"SO ROYALTON, VT, 05068, USA",NONE,,Inactive
"MORRISON MANAGEMENT SPECIALISTS, INC.",66704,Foreign Profit Corporation,"400 Northridge Road, Ste 600, Sandy Springs, GA, 30350, USA",CORPORATION SERVICE COMPANY,9,Active
MORRISON RESTAURANTS INC.,64729,Foreign Profit Corporation,"4721 MORRISON DRIVE, MOBILE, AL, 36609, USA","THE PRENTICE-HALL CORPORATION SYSTEM, INC.",6,Withdrawn
MORRISON SALES & SERVICE,192854,Trade Name,"239 W MAIN STREET, BENNINGTON, VT, 05201, USA",NONE,,Inactive
"MORRISON SALES & SERVICE, INC.",98790,Domestic Profit Corporation,"32 Cortland Lane, BENNINGTON, VT, 05201, USA",EDWARD H SMITH,12,Dissolved
MORRISON SCHOOL OF WOODWORKING ARTS INC,298481,Domestic Non-profit Corporation,"720 TEMPLETON RD, East MONTPELIER, VT, 05602, USA",Jayne Ollin,,Active
MORRISON TILE LLC,36746,Domestic Limited Liability Company,"163 WOODLAND DR, APT 4, BRISTOL, VT, 05443, USA",JAMIE MORRISON,12,Inactive
MORRISON TRUCKING,338092,Trade Name,"392 US RTE 5, SUTTON, VT, 05867, USA",BENJAMIN MORRISON,,Active
MORRISON WOODWORKING & CARPENTRY,290229,Trade Name,"720 TEMPLETON RD, E MONTPELIER, VT, 05602, USA",Jayne Ollin,,Active
MORRISON WOODWORKING VERMONT,266154,Trade Name,"40 RIVERVIEW DR, BURLINGTON, VT, 05408, USA",NONE,,Inactive
MORRISON WOODWORKING VERMONT,306773,Trade Name,"44 LOGWOOD CIRC, ESSEX, VT, 05452, USA",THERESA (TERRE) A MORRISON,,Active
MORRISON'S APPLE BLOSSOM FARM,186247,Trade Name,"PO BOX 464, E CORINTH, VT, 05039, USA",NONE,,Inactive
MORRISON'S COUNTRY STORE & DELI,161169,Trade Name,"EAST BARRE, VT, USA",NONE,,Expired
"MORRISON'S CUSTOM FEEDS, INC.",107782,Domestic Profit Corporation,"1140 OLD COUNTY ROAD, BARNET, VT, 05821, USA",LESLIE E MORRISON,12,Active
"MORRISON'S FEED BAG, INC.",128622,Domestic Profit Corporation,"1140 OLD COUNTY RD., BARNET, VT, 05821, USA",LESLIE E MORRISON,12,Active
"MORRISON'S LAND CLEARING, INC.",113409,Domestic Profit Corporation,"RFD 3 BOX 3062, MONTPELIER, VT, 05602, USA",MARION MORRISON,12,Active
MORRISON-CLARK,354921,Trade Name,"889 Route 14 South, Barre, VT, 05670, USA",Dennis Duff,,Active
"MORRISON-CLARK, INC.",65790,Domestic Profit Corporation,"PO BOX 600, S BARRE, VT, 05670, USA",MARY MORRISON,2,Inactive
"MORRISON-KNUDSEN CO., INC.",43886,Foreign Profit Corporation,"109 ORANGE ST., WILMINGTON, DE, 19801, USA",C T CORPORATION SYSTEM,12,Withdrawn
"MORRISON-KNUDSEN ENGINEERS, INC.",55543,Foreign Profit Corporation,"ONE EAST FIRST STREET, RENO, NV, 89501, USA",C T CORPORATION SYSTEM,12,Withdrawn
"MORRISON-KNUDSEN FINANCIAL COMPANY, INC.",56742,Foreign Profit Corporation,"ONE EAST FIRST ST, RENO, NV, 89501, USA",C T CORPORATION SYSTEM,12,Inactive
"MORRISON-KNUDSEN SERVICES, INC.",61337,Foreign Profit Corporation,"ONE EAST FIRST STREET, RENO, NV, 89501, USA",C T CORPORATION SYSTEM,12,Withdrawn
MORRISSETTE YOUNG & WILSON PC,283851,Domestic Profit Corporation,"35 ELM ST, LYNDONVILLE, VT, 05851, USA",PETER J MORRISSETTE,12,Dissolved
MORSE AND SON ELECTRICAL CONTRACTORS,166859,Trade Name,"SOUTH STREET, POULTNEY, VT, 05764, USA",NONE,,Inactive
"MORTENSON & BAILEY CONTRACTING, INC.",55806,Foreign Profit Corporation,"PO BOX 376, MAIN ST., CHARLSTOWN, NH, 03603, USA",MICHALE F. HANLEY,9,Inactive
"MORTENSON AND BAILEY CONTRACTING, INC.",61659,Foreign Profit Corporation,"MAIN STREET, CHARLESTOWN, NH, 03603, USA","DAVID N. COLE, ESQ.",12,Inactive
MORTENSON CONSTRUCTION,259975,Trade Name,"WILLISTON, VT, USA",C T CORPORATION SYSTEM,,Inactive
MORTENSON CONSTRUCTION,331332,Trade Name,"700 Meadow Lane North, Minneapolis, MN, 55422, USA",CORPORATION SERVICE COMPANY,,Active
MOSSON TECHNOLOGIES,263194,Trade Name,"2531 GODFREY RD, E THETFORD, VT, 05043, USA",NONE,,Cessated
MOSSON TECHNOLOGIES,320898,Trade Name,"197 Sand Pond Rd., Marlow, NH, 03456, USA",AGENT RESIGNED,,Cessated
MOTLEY MO'S ONLINE CONSIGNMENT LLP,305343,Domestic Limited Liability Partnership,"626 Halpin Rd, Middlebury, VT, 05753, USA",Matthew Stattel,,Dissolved
MOULISON LLC,327785,Foreign Limited Liability Company,"10 Iron Trail Road, Biddeford, ME, 04005, USA",MAXX FARR,12,Active
MOULISON NORTH CORPORATION,68532,Foreign Profit Corporation,"-NONE ON FILE-, TOWNSHEND, VT, 05353, USA","NATIONAL REGISTERED AGENTS, INC.",12,Inactive
MOUNTAIN GOAT MASONRY INC,133156,Foreign Name Registration,"91 PEQUOT RD, SOUTHHAMPTON, MA, 01073, USA",NONE,,Expired
MOUNTAIN HOLLOW MASONRY AND CHIMNEY LLC,358516,Foreign Limited Liability Company,"12 Newell rd, Crown point, NY, 12928, USA",Jim Monnett,12,Active
"MOUNTAIN SON TOURS, LLC",14447,Domestic Limited Liability Company,"1997 ROUTE 4, MENDON, VT, 05701, USA",EDWIN A BOUTWELL,12,Active
"MOUNTAIN SON, INC.",104390,Domestic Profit Corporation,"1997 US RTE 4, MENDON, VT, 05701, USA",EDWIN ARNOLD BOUTWELL,12,Active
MOUNTAIN TOP MASONRY,220253,Trade Name,"LUDLOW, VT, 05149, USA",NONE,,Inactive
MOUNTAIN VIEW BISON,296606,Trade Name,"238 Stratton Rd., Rutland, VT, 05701, USA",TOM HUBBARD,,Active
"MOUNTAINSONG EXPEDITIONS, LLC",279922,Domestic Limited Liability Company,"99 Upper Hancock Brook Rd, Worcester, VT, 05682, USA",Murphy Robinson,12,Active
"MPACTFUND PARTNERS ONE, LLC",13336,Domestic Limited Liability Company,"37 CATHERINE ST, ST ALBANS, VT, 05478, USA",BLAKE PRATER,12,Inactive
MR. B'S AND SON'S CONCRETE,244067,Trade Name,"PO BOX 103, WASHINGTON, VT, 05675, USA",NONE,,Inactive
MT JOHNSON INC.,283232,Domestic Profit Corporation,"1567 MT HUNGER RD, BARNARD, VT, 05031, USA",TIMOTHY JOHNSON,12,Active
MTN SEASONS WOODFIRED LLC,288623,Domestic Limited Liability Company,"4008 VT RTE 108, JEFFERSONVILLE, VT, 05464, USA","UNITED STATES CORPORATION AGENTS, INC",12,Dissolved
"MTN SEASONS, LLC",319524,Domestic Limited Liability Company,"4008 Route 108 South, Jeffersonville, VT, 05464, USA",FREDERICK E. BARBER,12,Active
MTV NETWORKS ON CAMPUS INC.,74642,Foreign Profit Corporation,"1 STATE STREET, 25TH FLOOR, NEW YORK, NY, 10004, USA",CORPORATION SERVICE COMPANY,9,Withdrawn
MUD SEASON PRODUCTION COMPANY,263188,Trade Name,"DUDLEY STREET, RANDOLPH, VT, 05060, USA",NONE,,Inactive
MUD WASP MASONRY,234221,Trade Name,"TUCKER ROAD, S. ACWORTH, NH, 03607, USA",WILLIAM F. MURRAY,,Inactive
MULHOLLAND & SON HOME IMPROVEMENTS,183113,Trade Name,"64 FAIRFIELD DR, BURLINGTON, VT, 05401, USA",NONE,,Inactive
"MUMFORD & SONS, INC.",107838,Domestic Profit Corporation,"WEST RUTLAND, VT, USA",GARY R. KUPFERER,12,Dissolved
"MUNSON AND MUNSON, P.C.",104617,Domestic Profit Corporation,"320 UPPER PLAIN, BRADFORD, VT, 05033, USA",PHILIP W. MUNSON DDS,12,Active
MUNSON AUTO & PAINT,226616,Trade Name,"BUCKHILL RD., HINESBURG, VT, 05461, USA",NONE,,Inactive
MUNSON AUTO LLC,32360,Domestic Limited Liability Company,"160 Buck Hill Rd W, HINESBURG, VT, 05461, USA","MARIANNE TREGLIA, CPA",12,Terminated
MUNSON EARTH MOVING CORPORATION,56942,Domestic Profit Corporation,"85 Shunpike Rd, Williston, VT, 05495, USA",DAVID C. BRIGHT,12,Active
"MUNSON MOTOR SPORTS, LLC",36419,Domestic Limited Liability Company,"160 Buck Hill Rd W, HINESBURG, VT, 05461, USA",MARIANNE TREGLIA,12,Terminated
"MUNSON PLUMBING & HEATING, LLC",9933,Domestic Limited Liability Company,"4309 ETHAN ALLEN HWY, Georgia, VT, 05478, USA",JOSEPH MUNSON,12,Active
"MUNSON RESIDENTIAL, LLC",284493,Domestic Limited Liability Company,"359 NORTH CANAL ST, CHICAGO, IL, 60606, USA",JOHN P MONETTE,12,Active
"MUNSON WAY, LLC",33279,Domestic Limited Liability Company,"286 College St, Burlington, VT, 05401, USA",TRUST COMPANY OF VERMONT,12,Active
"MUNSON'S EQUIPMENT, INC.",87714,Domestic Profit Corporation,"RTE 2, ST. JOHNSBURY, VT, 05819, USA",EDWARDS O`BOYLE,12,Inactive
"MUNSON/YANDOW REAL ESTATE, LLC",13405,Domestic Limited Liability Company,"122 SHARON DRIVE, WILLISTON, VT, 05495, USA",KENNETH MUNSON,12,Dissolved
"MURDOCK'S ON THE GREEN, LLC",320208,Domestic Limited Liability Company,"561 East Road, Cavendish, VT, 05142, USA",ETIENNE TING,12,Active
