Business Name,Control Number,Business Type,Principal Office Address,Registered / Designated Agent Name,Status
"MOTHERS AND DAUGHTERS AGAINST CANCER, INC.",649119,Domestic Nonprofit Corporation,"5196 Creek Walk Circle, Peachtree Corners, GA, 30092","Graveline, Susan Highsmith",Active/Compliance
"MOTHERS AND DAUGHTERS INCOMPARABLE, LLC",12036582,Domestic Limited Liability Company,"4285 Campbell Road, Snellville, GA, 30039, USA","Brown-Kelly, Marcia Lynne",Admin. Dissolved
"MOTHERS DAUGHTERS AND SISTERS AGAINST BREAST CANCER, INC",11057026,Domestic Nonprofit Corporation,"PO Box 80605, Conyers, GA, 30013, USA",SANDRA HILL,Active/Compliance
MOTHERS OF DAUGHTERS ENRICHING LIVES THRU SHARING M.O.D.E.L.S. INC.,10051447,Foreign Nonprofit Corporation,"PO Box 19221, Detroit, MI, 48219, USA",NONE,Revoked
Mothers of incarcerated sons and daughters doing time with love ones,,Name Reservation,NONE,NONE,Active
"MOTHERS OF MURDERED SONS AND DAUGHTERS (MOMS), INC.",K616491,Domestic Nonprofit Corporation,"1405 WOODLAND AVE SE, ATLANTA, GA, 30316-3172, USA",BRENDA J. MUHAMMAD,Admin. Dissolved
Mrs. O Mother & Daughter We Care Team,,Name Reservation,NONE,NONE,Expired
Mrs. O Mother & Daughter We Care Team LLC,19138535,Domestic Limited Liability Company,"1580 Calloway Loop, Conyers, GA, 30012, USA",Kelly Jo Bailey,Active/Compliance
"MY DAUGHTER'S PERSONAL CARE, ""LLC""",10031583,Domestic Limited Liability Company,"1070 bridle creek dr., flowery branch, GA, 30542","hester, nicole shrell",Admin. Dissolved
"MY DAUGHTER'S TREASURES, INC.",359090,Domestic Profit Corporation,"P.O. Box 2068, DULUTH, GA, 30096",JENNIFER MCGHEE,Admin. Dissolved
MY DAUGHTERS HOUSE INC.,11074502,Domestic Nonprofit Corporation,"P.O.Box 360013, Decatur, GA, 30036, USA","Davis, Marion",Admin. Dissolved
"My Daughters Journey, Inc.",12032006,Domestic Nonprofit Corporation,"18505 Henderson Ave, Hollis, NY, 11423, USA","Huling, Celste",Active/Compliance
MY FATHER'S DAUGHTER PRODUCTIONS LLC,18134803,Domestic Limited Liability Company,"2451 CUMBERLAND PARKWAY, SUITE 3359, ATLANTA, GA, 30339, USA",MAIESHA MCQUEEN,Active/Compliance
My Mother's Daughter,,Name Reservation,NONE,NONE,Name Reservation Rejected
"MY MOTHER'S DAUGHTER, INC.",611413,Domestic Nonprofit Corporation,"1544 Wellborn Road, Suite 4, Redan, GA, 30074, USA",ANGELIA P. LATNERS,Active/Compliance
"MY MOTHER'S DAUGHTER, INC.",K806890,Domestic Profit Corporation,"PO BOX 1986, SMYRNA, GA, 30081-1986, USA",KIM E. BRYANT,Admin. Dissolved
"MY PARENT'S OTHER DAUGHTER, LLC",12043295,Domestic Limited Liability Company,"C/O Barbara Landes, 3790 Ashford Trail, NE, Atlanta, GA, 30319, USA","Landes, Barbara L.",Active/Compliance
"MY THREE DAUGHTERS, LLC",430318,Domestic Limited Liability Company,"130 Mulberry CT, PEACHTREE CITY, GA, 30269, USA",JOHN NESSING,Admin. Dissolved
"NANCY HART CHAPTER, NATIONAL SOCIETY DAUGHTERS OF THE AMERICAN REVOLUTION, INC.",612651,Domestic Nonprofit Corporation,"PO Box 2028, MILLEDGEVILLE, GA, 31059, USA",Maggie Shiver,Active/Compliance
"NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION, THE (INC.)",10090083,Foreign Nonprofit Corporation,"1776 D STREET NW, Washington, DC, 20006, USA",CORPORATION SERVICE COMPANY,Active/Compliance
"Needum & Prinicilee Daughter's, LLC",17037342,Domestic Limited Liability Company,"406 W. First Street, Vidalia, GA, 30474, USA",Needum Rogers,Admin. Dissolved
"Nell's Daughter, LLC",18119987,Domestic Limited Liability Company,"134 Ernest Stinson Road, East Dublin, GA, 31027, USA",Lori Daniels Thigpen,Active/Compliance
"NKY HOUSING & HOMECARE SERVICES,LLC",7057857,Domestic Limited Liability Company,"1856 WaterCrest Dr., Jonesboro, GA, 30236","Nnadi, Ruby NKechi",Active/Compliance
NKY HOUSING WITH DAUGHTERS IN GOD'S FAITH LIMITED LIABILITY COMPANY,7057857,,",",,
"NOT WITHOUT MY DAUGHTER, INC.",K007627,Domestic Profit Corporation,"455 8TH STREET, ATLANTA, GA, 30338, USA","LUSE, TOM",Admin. Dissolved
OUR FATHER'S DAUGHTERS LLC,689760,Domestic Limited Liability Company,"886 BETHSAIDA ROAD, Riverdale, GA, 30296","Butler, Margie Marie",Admin. Dissolved
"OUR SONS AND DAUGHTERS, INC.",528688,Domestic Nonprofit Corporation,"1698 LISBON DRIVE, ATLANTA, GA, 30310",JON R. BRIGGS,Admin. Dissolved
Pamela Daughters Cleaning Service LLC,17007148,Domestic Limited Liability Company,"1022 Baltic Way, Lithonia, GA, 30058, USA",Denise Aaron - Hoyte,Admin. Dissolved
Partners Uplifting our Daughters and Sons Inc,15029952,Domestic Nonprofit Corporation,"4264 Ward Bluff ct, Ellenwood, GA, 30294, USA",Precious Avorkliyah-Evans,Active/Compliance
Partners Uplifting Our Daughters Inc,15016946,Name Reservation,NONE,NONE,Redeemed
Partners Uplifting Our Daughters Inc,15029952,,",",,
"Paula's Daughter Limited, LLC",14021450,Domestic Limited Liability Company,"2909 Chapel Ridge Circle, Decatur, GA, 30034, USA",Tracy A Joseph,Admin. Dissolved
"PAULETTE CARRAGHER & DAUGHTERS, INC.",K908527,Domestic Profit Corporation,"3853 LAKE FORREST DRIVE, NE, Atlanta, GA, 30342, USA","JOSEPH A. CARRAGHER, JR.",Admin. Dissolved
PEARL'S DAUGHTER HAIR SALON LLC,12024905,Domestic Limited Liability Company,"4008 CARISBROOK LN, UNION CITY, GA, 30291, USA","REDMON, BARBARA LYNN",Active/Compliance
"PENEDO & DAUGHTER, INC.",127859,Domestic Profit Corporation,"260 peachtree st ne suite 2200, atlanta, GA, 30303",ROBERTO E. PENEDO,Admin. Dissolved
"PETER J. DAUGHTERY, LLC",7101712,Domestic Limited Liability Company,"P.O.Box 1118, Columbus, GA, 31902","Daughtery, Peter J",Admin. Dissolved
"PLANTER'S DAUGHTER, INC.",26151,Domestic Profit Corporation,"49 WESLEY ST, NEWNAN, GA, 30263-2018, USA",ELIZABETH L. BELCHER,Admin. Dissolved
Poole Construction Daughters & Sons,,Name Reservation,NONE,NONE,Expired
"POSSUM QUEEN'S DAUGHTER, LLC",9088488,Domestic Limited Liability Company,"P.O. Box 1237, Tybee Island, GA, 31328","CARROLL, SANDRA",Active/Compliance
"POSTMASTER'S DAUGHTER, INC.",K827771,Domestic Profit Corporation,"515 6th Street, Windsor, CO, 80550","Ross, Cori Kristen",Admin. Dissolved
"PRINCESS DAUGHTERS, INC.",530467,Domestic Nonprofit Corporation,"250 SQUIRE LANE, FAYETTEVILLE, GA, 30214, USA",SOLOMON EDMOND,Admin. Dissolved
PRODIGAL DAUGHTER MINISTRY INC.,8076857,Domestic Nonprofit Corporation,"2419 Aylesbury Loop Apt 166, Decatur, GA, 30034","johnson, ronnie",Admin. Dissolved
"PRODIGAL DAUGHTER OF DESTINY, INC.",517670,Domestic Profit Corporation,"P.O. BOX 82896, HAPEVILLE, GA, 30354, USA",RUTH A. BARR,Admin. Dissolved
PRODIGAL SONS & DAUGHTER REDIRECTION SERVICES INC,15070990,Domestic Nonprofit Corporation,"5027 ESTONIAN DRIVE, FAIRBURN, GA, 30213-9206, USA",Dwayne Williams,Active/Compliance
"Prodigal Sons & Daughters Behavioral Healthcare Services, Limited",19118668,Domestic Nonprofit Corporation,"5027 Estonian drive, Fairburn, GA, 30213, USA",Nafeesah Goldsmith,Active/Compliance
"PRODIGAL SONS AND DAUGHTERS MINISTRIES, INC.",522957,Foreign Nonprofit Corporation,"8393 HOLLOWBROOK DR., RIVERDALE, GA, 30274",GLORIA J. FRAZIER,Revoked
"PRODIGAL SONS AND DAUGHTERS MINISTRIES, INC.",11096708,Foreign Nonprofit Corporation,"105 Ward Drive, Barnesville, GA, 30204, USA",Gloria Jean Frazier,Active/Compliance
"PROSPEROUS SONS AND DAUGHTERS INVESTMENT CLUB, L.P.",149353,Domestic Limited Partnership,"7341 TARA BLVD, JONESBORO, GA, 30236-1903, USA","EDWARDS, JULIUS",Inactive
"RACHEL'S DAUGHTERS, INC.",346830,Domestic Nonprofit Corporation,"315 TANNER STREET #353, ATLANTA, GA, 30312, USA",SHEKEMA S. TINCH,Admin. Dissolved
Raina & Daughter's Truck Lines LLC,19011566,Domestic Limited Liability Company,"1490 Willow River Run, Grayson, GA, 30017, USA","United States Corporation Agents, Inc.",Active/Compliance
"RAISING SONS AND DAUGHTERS FAMILY CENTER, INC.",10022602,Domestic Nonprofit Corporation,"3611 New Karleen Rd, Hephzibah, GA, 30815, USA","Brown, Cinda Ciacelli",Admin. Dissolved
"RENT-A-DAUGHTER, INC.",K506107,Domestic Profit Corporation,"PO BOX 411, YOUNG HARRIS, GA, 30582-0411, USA",PHYLLIS D CHRISTINE,Admin. Dissolved
"Rising Sons and Daughters, Inc",16015925,Domestic Profit Corporation,"124 N Avondale Rd, Avondale, GA, 30002, USA",Hudson Rouse,Active/Compliance
"ROBERT HILL & DAUGHTERS TRANSPORT,",,Name Reservation,NONE,NONE,Redeemed
"ROBERT HILL & DAUGHTERS TRANSPORT, LLC",19039813,Domestic Limited Liability Company,"3308 HILLIS RD, AUGUSTA, GA, 30906-4550, USA",MATTIE LATOYA DURHAM,Active/Compliance
"ROBERT HILL & DAUGHTERS,",,Name Reservation,NONE,NONE,Expired
ROSIC & DAUGHTERS ENTERPRISE LLC,19033322,Domestic Limited Liability Company,"6071 HIGHWAY 85 APT32D, RIVERDALE, GA, 30274, USA",ROSE KELECHI OGBONNAH,Active/Compliance
"RUBY'S DAUGHTER, INC.",10027152,Domestic Nonprofit Corporation,"P. O. Box 14829, Atlanta, GA, 30324, USA",Wanda Taylor,Active/Compliance
"RUTH & DAUGHTER, INC.",K628654,Domestic Profit Corporation,"PO BOX 215, 14 Mt. Zion Street, MILAN, GA, 31060-0215, USA",JANICE S. CARTWRIGHT,Active/Compliance
Salvation for Our Daughters LLC,19147895,Domestic Limited Liability Company,"216 Stonemont Ct, Douglasville, GA, 30134, USA",Quana Francois,Active/Compliance
"SARAH'S DAUGHTER, INC.",682092,Domestic Profit Corporation,"541 10th Street, NW, Atlanta, GA, 30318-5713","Robinson, S.",Admin. Dissolved
"SARAH'S DAUGHTERS MINISTRIES, INC.",K817654,Domestic Nonprofit Corporation,"P.O. Box 71245, NEWNAN, GA, 30263-4602, USA",SARAH FELIX,Active/Compliance
"SAVE OUR SONS AND DAUGHTERS!, INC.",K525744,Domestic Profit Corporation,"2207 CANDLER RD, DECATUR, GA, 30032-6402, USA",BARBARA J. MOBLEY,Admin. Dissolved
"SAVE OUR SONS AND DAUGHTERS!, INC.",K519461,Domestic Profit Corporation,", USA",NONE,Void
Saving Our Daughters Inc.,12071077,Domestic Nonprofit Corporation,"311 Ryan Trail, Dallas, GA, 30157, USA","Benjamin, Curtis J",Active/Compliance
SAVING OUR DAUGHTERS PUBLISHING INC.,12071077,,",",,
"SAVING OUR DAUGHTERS PUBLISHING, INC.",240029,Foreign Nonprofit Corporation,"311 Ryan Trail, Dallas, GA, 30157",JONATHAN BENJAMIN,Revoked
"SAVING OUR DAUGHTERS, INC.",10068324,Domestic Nonprofit Corporation,"2101 CANERIDGE DRIVE, S.W., Marietta, GA, 30064, USA","Reyes, Alexandria J.",Admin. Dissolved
SAVING OUR SONS AND DAUGHTERS INTERNATIONAL LLC,12037565,Domestic Limited Liability Company,"105 Winchester Trail, Smryna, GA, 30080, USA","Aaron, Nicolas",Admin. Dissolved
SEBI'S DAUGHTERS,,Name Reservation,NONE,NONE,Redeemed
SEBI'S DAUGHTERS LLC,19120313,Domestic Limited Liability Company,"145 CARRIAGE CHASE, FAYETTEVILLE, GA, 30214, USA",KELLIE HORTON,Active/Compliance
"Shirley's Daughter Catering Services, LLC",15016414,Domestic Limited Liability Company,"1490 Fall Creek Trace N, Douglasville, GA, 30134",Yolanda McFadden,Admin. Dissolved
"SIDNEY LANIER CHAPTER, UNITED DAUGHTERS OF THE CONFEDERACY, INC.",A203435,Domestic Nonprofit Corporation,"856 MULBERRY ST. CANNONBALL HO, MACON, GA, 31201, USA",DOROTHY COOK,Admin. Dissolved
"SIMPSON & DAUGHTERS MORTUARY, INC.",H703205,Domestic Profit Corporation,"6787 FORREST AVE, DOUGLASVILLE, GA, 30134-1141",LUTICIA SIMPSON CAMPBELL,Admin. Dissolved
SISTERS & DAUGHTERS LLC,10082059,Domestic Limited Liability Company,"P.O. Box 1009, Tyrone, GA, 30290","Burns, Martha",Admin. Dissolved
"SISTERS AND DAUGHTERS TWO, INC.",J204995,Domestic Profit Corporation,"707 BELLE LAKE RD, DOUGLAS, GA, 31533, USA",JONES SANDRA LEE,Admin. Dissolved
SMITH & DAUGHTERS RELIABLE CLEANING SERVICE LLC,642489,Domestic Limited Liability Company,"7075 SKIPPINGSTONE WAY, DOUGLASVILLE, GA, 30134, USA",NONE,Admin. Dissolved
SOLOMON'S DAUGHTER INC.,36935,Domestic Profit Corporation,"144 ALESSIE DRIVE, NEWNAN, GA, 30263, USA",VICTORIA MASSASSI,Active/Compliance
Son & Daughter's Trucking,,Name Reservation,NONE,NONE,Redeemed
Son & Daughter's Trucking LLC,18001099,Domestic Limited Liability Company,"230 Valley Brook Drive, Covington, GA, 30016, USA","Stacey Lorenz Ward, SR",Active/Compliance
"Sons & Daughters Apparel, LLC",16030273,Domestic Limited Liability Company,"756 Brookside Parc Lane, Avondale Estates, GA, 30002, USA",Willie Lewis III,Admin. Dissolved
"SONS & DAUGHTERS OF THE FOUNDING FATHERS, INC.",10001187,Domestic Nonprofit Corporation,"3756 Southgate Dr. SW, Lilburn, GA, 30047, USA","Ramey, Steven W.",Admin. Dissolved
Sons & Daughters of the King Inc.,18134703,Domestic Nonprofit Corporation,"2536 Westover Drive, Statesboro, GA, 30458, USA",Denitrid Pinckney,Admin. Dissolved
SONS & DAUGHTERS TRANSPORTER LLC,19070121,Domestic Limited Liability Company,"100 KNIGHT WAY APT. 1305, FAYETTEVILLE, GA, 30214, USA",FELIX ADADE,Active/Compliance
"SONS & DAUGHTERS UNLIMITED, LLC",8090865,Domestic Limited Liability Company,"5544 TUNBRIDGE WELLS ROAD, Lithonia, GA, 30058",NONE,Admin. Dissolved
Sons & Daughters Worship Center,,Name Reservation,NONE,NONE,Redeemed
Sons & Daughters Worship Center INC.,18048544,Domestic Nonprofit Corporation,"215 NW Main Street, Vidalia, GA, 30474, USA",Keren Lumley,Active/Compliance
Sons and Daughters Inc.,13207299,Domestic Nonprofit Corporation,"4063 Norton Place, Smyrna, GA, 30082, USA",Cory Hallet,Active/Compliance
SONS AND DAUGHTERS OF BETHEL SOCIETY,0E00680,Domestic Profit Corporation,"13840 HIGHWAY 15 NORTH, WARTHEN, GA, 31094, USA",CLAUDIA FLEMING,Admin. Dissolved
"SONS AND DAUGHTERS OF CHARITY, INC.",F200850,Domestic Nonprofit Corporation,", USA",NONE,Admin. Dissolved
SONS AND DAUGHTERS OF CHRIST INC.,19104763,Domestic Nonprofit Corporation,"4062 PEACHTREE RD NE, SUITE A-674, ATLANTA, GA, 30319, USA",LEGALINC CORPORATE SERVICES INC.,Active/Compliance
"Sons and Daughters of Issachar, Inc.",14097915,Domestic Nonprofit Corporation,"3333 CLIFTON FARM DRIVE, DECATUR, GA, 30034, USA",TANISHA WRIGHT MCGHEE,Admin. Dissolved
SONS AND DAUGHTERS OF LABOR,A001238,Domestic Nonprofit Corporation,"RR 1 BOX 277, MITCHELL, GA, 30820-9602, USA","ROBERT BAKER, JR.",Admin. Dissolved
"Sons and Daughters of ROCAF (USA), Inc.",16078991,Domestic Nonprofit Corporation,"2900 Chamblee Tucker Rd., Bldg 12 3rd floor, atlanta, GA, 30341, USA",david chiao,Admin. Dissolved
SONS AND DAUGHTERS OF SALVATION,0E00982,Domestic Nonprofit Corporation,", USA",NONE,Admin. Dissolved
Sons And Daughters Of Salvation Corp.,17084356,Domestic Nonprofit Corporation,"725 McElrath St., Sandersville, GA, 31082, USA",Helen Gilbert,Active/Compliance
"SONS AND DAUGHTERS OF SOLOMON, INC.",K937947,Domestic Nonprofit Corporation,"5882 MARBUT RD, LITHONIA, GA, 30058-5417, USA",MONICA WILLIAMS,Admin. Dissolved
"SONS AND DAUGHTERS WITH DESTINY, INC.",209811,Domestic Nonprofit Corporation,"PO BOX 675504, MARIETTA, GA, 30006-0016, USA",KATHERYN A. JONES,Admin. Dissolved
Soul Farmers Daughter,,Name Reservation,NONE,NONE,Expired
"SPEARS & DAUGHTER PROPERTIES, LLC",353437,Domestic Limited Liability Company,"3185 SHAW ROAD, MARIETTA, GA, 30066, USA",H. MICHAEL SPEARS,Dissolved
Spicer's Daughter,,Name Reservation,NONE,NONE,Redeemed
Spicer's Daughter Limited Liability Company,18036452,Domestic Limited Liability Company,"5397 Oxbow Road, Smoke Rise, GA, 30087, USA",Candice Spicer,Active/Compliance
STAN'S DAUGHTER STUDIOS LLC,12085006,Domestic Limited Liability Company,"625 Granite Lane, Loganville, GA, 30052","Awtrey, Amelia Kate",Active/Compliance
STATE GRAND LODGE NO. 1 SONS AND DAUGHTERS OF THE MODERN PROTECTIVE(SEE M/F),A004045,Domestic Nonprofit Corporation,"2506 PECAN GROUE RD, WASHINGTON, GA, 30673, USA",EVANS MOORE,Admin. Dissolved
Sutton&Daughter LLC,17050643,Domestic Limited Liability Company,"6595 Roswell Road Suite G2063, Atlanta, GA, 30328, USA",Erialle Sutton,Active/Compliance
TEACHING OUR OWN SONS AND DAUGHTERS INC,10077456,Domestic Nonprofit Corporation,"13085 Morris Rd Unit 3305, Alpharetta, GA, 30004, USA","Purnell, Kenneth",Admin. Dissolved
THE AFRICA'S DAUGHTERS FUND CORPORATION,13444396,,",",,
"THE AMBASSADOR'S DAUGHTER, LLC",7025662,Domestic Limited Liability Company,"30 Palatine APT 402, Irvine, CA, 92612, USA","Pasha, Saira",Admin. Dissolved
THE ATLANTA CHAPTER OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,0C01523,Domestic Nonprofit Corporation,"4437 Central Dr., Stone Mountain, GA, 30083-2446, USA",Martha Adkinson,Active/Compliance
"The Bakers Daughter Deli and Dessert, LLC",14099481,Domestic Limited Liability Company,"102 Clarks bridge rd, gainesville, GA, 30501",jenny s griffin,Admin. Dissolved
"THE BLOOD COVENANT DAUGHTERS OF ZION, INC.",458558,Domestic Nonprofit Corporation,"3923 OLD LANTERN DRIVE, LITHONIA, GA, 30038, USA",APOSTLE EHTEL MAY MITCHELL,Admin. Dissolved
"THE CARPENTER'S DAUGHTER TWO, LLC",11040737,Domestic Limited Liability Company,"1011 Fairway Seven, Villa Rica, GA, 30180","Stimson, Jill Marie",Admin. Dissolved
"THE CARPENTER'S DAUGHTER, LLC",7012002,Domestic Limited Liability Company,"1140 midway road, powder springs , GA, 30127","Stimson, Jill Marie",Active/Compliance
"THE COACH'S DAUGHTER, LLC",8034870,Domestic Limited Liability Company,"5879 Buckner Creek Drive, Mableton, GA, 30126, USA","Smith, Rashan",Active/Compliance
"The Colonel's Daughter, LLC",13391524,Domestic Limited Liability Company,"4765 Fairway View Court, Duluth, GA, 30096",Registered Agents Inc.,Admin. Dissolved
"THE CONTINENTAL SOCIETY DAUGHTERS OF INDIAN WARS, INC.",J811914,Domestic Nonprofit Corporation,"500 Mt. Pleasant Road NE, Fairmont, GA, 30139, USA",JULIA A. FARRIGAN,Active/Compliance
The Daddyless Daughters Project Inc,18056531,Domestic Nonprofit Corporation,"2942 Lighthouse Way, Conyers, GA, 30013, USA",Patrice Chambers,Active/Compliance
THE DAUGHTERS OF ISIS FOUNDATION INC.,12032006,,",",,
"THE DAUGHTERS OF ISIS FOUNDATION, INC.",K535940,Domestic Nonprofit Corporation,"2609 PACES RDG APT D, ATLANTA, GA, 30339-4050, USA",SIMONE M. WILLIAMS,Admin. Dissolved
THE DAUGHTERS OF JUDAH INCORPORATED,7076894,Domestic Nonprofit Corporation,"1093 Panola Rd, Stone Mountain, GA, 30088",NONE,Admin. Dissolved
"THE DAUGHTERS OF SARAH, LLC",12050038,Domestic Limited Liability Company,"262 W. Smith St 8, Pembroke, GA, 31321, USA","Wasden III, Wiley Anderson",Active/Compliance
THE DAUGHTERS OF THE AFRICAN ATLANTIC FUND CORPORATION,13444396,Domestic Nonprofit Corporation,"3715 NEWHALEM STREET, SW, ATLANTA, GA, 30331, USA",ROSETTA E. ROSS,Active/Compliance
The Daughters of Zelophehad,,Name Reservation,NONE,NONE,Expired
The Daughters of Zelophehad LLC,17100674,Domestic Limited Liability Company,"1144 Nash Springs Circle, Lilburn, GA, 30047, USA",Zipporah M Hemani,Active/Compliance
THE DAUGHTERS OF ZELOPHEHAD LLC,7100299,Domestic Limited Liability Company,"P.O. Box 7293, Marietta, GA, 30065","Carvil, Danielle",Admin. Dissolved
THE DAUGHTERS PLACE INC,19008905,Domestic Nonprofit Corporation,"1662 MALLARD COURT, JONESBORO, GA, 30238, USA",TONJA DAVIS,Active/Compliance
"The Daughters Scruggs, LLC",16103443,Domestic Limited Liability Company,"720 Milledge Circle, Athens, GA, 30606, USA",Nancy Dyleski,Admin. Dissolved
"THE DICTATOR'S DAUGHTERS, LLC",12092839,Domestic Limited Liability Company,"5317 T L Bower Way, Flowery Branch, GA, 30542-2898","Bower, Tom L.",Active/Compliance
"The Farmer's Daughter of Gooseneck, LLC",18032109,Domestic Limited Liability Company,"2270 Osprey PT, Greensboro, GA, 30642, USA",Amanda Dutton Hudson,Active/Compliance
"THE FARMER'S DAUGHTER OF HOUSTON COUNTY, LLC",13429066,Domestic Limited Liability Company,"936 Carroll Street, Perry, GA, 31069, USA","James T. Farmer, III",Active/Compliance
"THE FARMER'S DAUGHTER, INC.",530196,Domestic Profit Corporation,"860 Johnson Ferry Road , Suite 140-131, Sandy Springs, GA, 30342",CHERYL CROCKETT,Admin. Dissolved
"The Fatherless Daughter Project, Inc.",14020811,Name Reservation,NONE,NONE,Expired
"THE FATHERLESS DAUGHTER PROJECT, INC.",14035277,Domestic Nonprofit Corporation,"4505 LAKE FORREST DRIVE NE, ATLANTA, GA, 30342",DENNA BABUL,Admin. Dissolved
"The Fur Man's Daughter, LLC",18044075,Domestic Limited Liability Company,"620 Peachtree Street NE, Suite 118, Atlanta, GA, 30308, USA",Phyllis Dewberry,Admin. Dissolved
"THE GEORGIA STATE SOCIETY OF THE NATIONAL SOCIETY, DAUGHTERS OF THE AMERICAN",A200056,Domestic Nonprofit Corporation,"3734 Timber Walk Dr, Gainesville, GA, 30506-3667, USA",Georgia Society National Society Daughters of the American Revolution,Active/Compliance
"THE GRAND LODGE # 29 OF GOOD SAMARITANS AND DAUGHTER SAMARIA OF GEORGIA, INC.",D804354,Domestic Nonprofit Corporation,", USA",NONE,Admin. Dissolved
"THE JULIA MCLEOD CHAPTER OF THE KING'S DAUGHTERS AND SONS OF SAVANNAH, GEORGIA",0X06150,Domestic Nonprofit Corporation,", USA",NONE,Admin. Dissolved
"THE JUNKMAN'S DAUGHTER, INC.",K421142,Domestic Profit Corporation,"464 MORELAND AVE NE, ATLANTA, GA, 30307-1423, USA",Joshua Mills,Active/Compliance
The King's Daughter International Inc,14071558,Name Reservation,NONE,NONE,Redeemed
The King's Daughter International Inc,14073552,Domestic Nonprofit Corporation,"2242 Rosemoore Walk, Marietta, GA, 30062",Olubunmi Deborah Igbinijesu,Admin. Dissolved
The King's Daughter International Inc,14058470,Name Reservation,NONE,NONE,Expired
"The King's Daughter, LLC",19033083,Domestic Limited Liability Company,"2785 Keystone Ave, Lithonia, GA, 30058, USA",Alexandria Mann,Active/Compliance
"THE KING'S DAUGHTERS & SONS OF WARE COUNTY, INC.",0E01737,Domestic Nonprofit Corporation,"310 HILL ST, WAYCROSS, GA, 31501-3423, USA","CLARK, MAREAN M.",Admin. Dissolved
"THE KING'S DAUGHTERS & SONS OF WARE COUNTY, INC. (M-INVD 5/1/81)",F401737,Domestic Nonprofit Corporation,", USA",NONE,Admin. Dissolved
THE KING'S DAUGHTERS INITIATIVE,,Name Reservation,NONE,NONE,Expired
"The Mother-Daughter Nest, LLC",16042475,Domestic Limited Liability Company,"1161 Long Rd, Watkinsville, GA, 30677, USA","Melia Digby, Woods",Active/Compliance
"THE ORDER OF THE DAUGHTERS OF THE KING, INC.",J516746,Domestic Nonprofit Corporation,"101 WEATHERSTONE DR STE 870, WOODSTOCK, GA, 30188-7007, USA",Gloria L Kimbrell,Active/Compliance
THE SARAH BRADLEY CIRCLE OF THE INTERNATIONAL ORDER OF THE KING'S DAUGHTERS AND,F900605,Domestic Nonprofit Corporation,"SONS, INC., USA",NONE,Admin. Dissolved
THE SONS AND DAUGHTERS OF JACOB LODGE NO. 1,A902822,Domestic Nonprofit Corporation,"1612 FIRST FEDERAL BLDG, ATLANTA, GA, 30303, USA",WALTER V. BEASLEY,Admin. Dissolved
"THE SONS AND DAUGHTERS OF RUTH, INC.",0X08303,Domestic Nonprofit Corporation,"2933 BLOUNT ST, MACON, GA, 31206-1566, USA","PRIDE, ST DORIA",Admin. Dissolved
"THE SONS AND DAUGHTERS OF THE MARY AND MARTHA SOCIETY, INC.",J924895,Domestic Nonprofit Corporation,"PO BOX 107, THOMASTON, GA, 30286, USA","William Hughley, D",Admin. Dissolved
"THE SONS AND DAUGHTERS OF THE SOUTH, INC.",K634846,Foreign Nonprofit Corporation,"5270 AVERY RD, CAMPBELLTON, FL, 32426-7012, USA",NONE,Admin. Dissolved
"THE WOODSMAN'S DAUGHTER, INC.",J315662,Domestic Profit Corporation,"2219 WOOD GLEN LN SE, MARIETTA, GA, 30067-7347, USA",GILLIS DONALD A,Admin. Dissolved
Thomas & Daughter Trucking & Logistics LLC,13431299,Domestic Limited Liability Company,"637 Belle Grove Drive, Jonesboro, GA, 30238",Pauline P Thompson,Admin. Dissolved
"Thomasville Thomas County Father Daughter Dance, Inc.",19025280,Domestic Nonprofit Corporation,"810 Baldwin Rd, Ochlocknee, GA, 31773, USA",Tamela B LeSuer,Active/Compliance
"THREE DAUGHTERS BOUTIQUE, INC.",611735,Domestic Profit Corporation,"304A ADAMSON SQUARE, CARROLLTON, GA, 30117",VICKI ANDERSON,Admin. Dissolved
Three Daughters Coffee Company LLC,16006320,Domestic Limited Liability Company,"217 Woodlawn Avenue, Athens, GA, 30606, USA",Michael Ripps,Active/Compliance
Three Daughters LLC,14103797,Domestic Limited Liability Company,"3971 Cooks Farm Drive, Kennesaw, GA, 30152",Ryan Chavers,Active/Compliance
"THREE DAUGHTERS PROPERTY, LLC",8050178,Domestic Limited Liability Company,"665 Mount Vernon Road, Monroe, GA, 30656",NONE,Admin. Dissolved
"THURSTON & DAUGHTERS, INC.",J309921,Domestic Profit Corporation,"303 PEACHTREE ST SUITE 2800, ATLANTA, GA, 30308",CAROLYN THORN WINGFIELD,Admin. Dissolved
Too Sarah's Daughters Inc,16012539,Domestic Nonprofit Corporation,"2502 Norris Rd. #5, POB 12132, Columbus, GA, 31907, USA",Julia Sermons,Active/Compliance
"Transformed Daughters, Inc.",19121475,Domestic Nonprofit Corporation,"5691 Turnstone Dr. SW, Conyers, GA, 30094, USA",Latiffany Montgomery,Active/Compliance
"TRUKIEH & DAUGHTER, INC.",K426781,Domestic Profit Corporation,"PO BOX 870187, STONE MOUNTAIN, GA, 30087-0005, USA",JAMES E. SANDERS,Admin. Dissolved
"Two Daughters and a Son, LLC",17121877,Domestic Limited Liability Company,"52 Barton ct, Hinesville, GA, 31313, USA",Sabrina Renae Hill,Admin. Dissolved
