Entity Type,Entity #,Entity Name,Name Type,Status
Business Corporation,20588D,"LARSON & TIMBERS, INC.",Legal Name,Voluntarily Dissolved
Limited Liability Company,121937,Larson Agency LLC,Legal Name,Good Standing
Business Corporation,107178,"Larson Binkley, Inc.",Legal Name,Withdrawn
Business Corporation,130478,"Larson Binkley, Inc.",Previous Legal Name,Good Standing
Business Name Registration,22661,LARSON CHIROPRACTIC,Legal Name,Expired Name
Business Name Registration,127732,Larson Chiropractic,Legal Name,Canceled Name
Limited Liability Company,136860,"Larson Chiropractic, LLC",Legal Name,Good Standing
Limited Liability Company,10030014,"Larson Consulting, LLC",Legal Name,Involuntarily Dissolved
Name Reservation,133328,Larson Engineering & Design,Legal Name,Expired Name
Professional Corporation,10001400,"Larson Engineering & Design, P.C.",Legal Name,Good Standing
Business Corporation,108832,"Larson Engineering, Inc.",Legal Name,Good Standing
Limited Liability Company,132123,Larson Equipment LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,10056339,LARSON FISHERIES LLC,Legal Name,Good Standing
Limited Partnership,3518PD,LARSON GROUP LTD,Legal Name,Voluntarily Dissolved
Limited Liability Company,102894,"Larson Holdings, LLC",Legal Name,Involuntarily Dissolved
Business Name Registration,30341,LARSON LAKE AVIATION,Legal Name,Expired Name
Business Corporation,76573D,"LARSON LAKE LODGE, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,113891,Larson Property Management LLC.,Legal Name,Non-Compliant
Limited Liability Company,10076100,Larson Unlimited LLC,Legal Name,Good Standing
Business Corporation,44592D,"LARSON'S LOCKSMITH & SECURITY, INC.",Legal Name,Good Standing
Business Corporation,96255,Larson-Bertone Inc.,Legal Name,Revoked
Limited Liability Partnership,135948,LarsonAllen LLP,Previous Legal Name,Good Standing
Limited Liability Company,10033647,"Las Vegas/Henderson Bespoke Property Investments, LLC",Legal Name,Good Standing
Business Corporation,69670D,"LAST FRONTIER HARLEY-DAVIDSON, INC.",Previous Legal Name,Good Standing
Limited Liability Company,69337D,"LAST FRONTIER HARLEY-DAVIDSON, LLC",Legal Name,Voluntarily Dissolved
Professional Corporation,24574D,"LAUREL J. PETERSON, A PROFESSIONAL CORPORATION",Legal Name,Involuntarily Dissolved
Business Corporation,53353D,"LAVALLEE & SONS, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10040589,"Law Office of Alison A Carter, LLC",Legal Name,Good Standing
Limited Liability Company,90921,"Law Office of Ann Richardson, LLC",Legal Name,Involuntarily Dissolved
Business Name Registration,10051025,LAW OFFICE OF BRADLY A. CARLSON,Legal Name,Canceled Name
Limited Liability Company,118617,"Law Office of Curtis W. Patteson, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10020044,"Law Office of Curtis W. Patteson, LLC",Legal Name,Good Standing
Professional Corporation,10075440,"LAW OFFICE OF JASON RUEDY, PC",Legal Name,Involuntarily Dissolved
Limited Liability Company,105525,"Law Office of Jason Skala, LLC",Legal Name,Good Standing
Limited Liability Company,10020080,"Law Office of Kathy Atkinson, LLC",Legal Name,Good Standing
Limited Liability Company,10005346,Law Office of Lisa B. Nelson LLC,Legal Name,Good Standing
Limited Liability Company,10106299,"Law Office of Michael J Branson, LLC",Legal Name,Good Standing
Limited Liability Company,71957D,"LAW OFFICE OF PAULA M. JACOBSON, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,100332,"Law Office of Romy Patterson, LLC",Legal Name,Involuntarily Dissolved
Professional Corporation,43259D,"LAW OFFICES OF BLEDSOE & KNUTSON, A PROFESSIONAL CORPORATION",Legal Name,Involuntarily Dissolved
Professional Corporation,36557D,"LAW OFFICES OF CABOT CHRISTIANSON, A PROFESSIONAL CORPORATION",Legal Name,Good Standing
Professional Corporation,75540D,"LAW OFFICES OF DAVID HENDERSON, A PROFESSIONAL CORPORATION",Legal Name,Good Standing
Professional Corporation,51749D,"LAW OFFICES OF DONALD M. JOHNSON, P.C.",Legal Name,Involuntarily Dissolved
Professional Corporation,91710,"Law Offices of Douglas G Johnson, PC",Previous Legal Name,Good Standing
Professional Corporation,20959D,LAW OFFICES OF STEPHEN J. PEARSON,Legal Name,Voluntarily Dissolved
Business Corporation,128525,Lawson Consulting Inc.,Legal Name,Good Standing
Limited Partnership,10000128,Lawson Family Limited Partnership,Legal Name,Good Standing
Business Corporation,10015324,"Lawson Products, Inc.",Legal Name,Good Standing
Business Corporation,55258D,"LAWSON ROOFING & REMODELING, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,105479,"Lawson Software Americas, Inc.",Legal Name,Voluntarily Dissolved
Business Corporation,10003936,"Lawson Software, Inc.",Previous Legal Name,Good Standing
Limited Liability Company,10011540,Leboki and Sons Fisheries LLC,Legal Name,Good Standing
Business Corporation,95881,"Lee Addison Trucking, Incorporated",Legal Name,Involuntarily Dissolved
Limited Liability Company,10014787,"LeonSon Design, LLC",Legal Name,Good Standing
Business Corporation,88048D,"LEPSON ENTERPRISES, INC.",Legal Name,Involuntarily Dissolved
Business Name Registration,125541,Lessons in Language,Legal Name,Expired Name
Business Corporation,67601D,"LEVENSON BROWN CONSULTING, INC.",Legal Name,Voluntarily Dissolved
Business Corporation,59406F,"LEVI'S ONLY STORES, INC.",Legal Name,Revoked
Business Corporation,136813,"Levi's Only Stores, Inc.",Legal Name,Good Standing
Business Corporation,52199D,LEWIS & SONS PAVING INC.,Previous Legal Name,Involuntarily Dissolved
Business Corporation,52199D,"Lewis & Sons Trucking, Inc.",Legal Name,Involuntarily Dissolved
Business Corporation,52199D,"Lewis & Sons Trucking, Inc.",Previous Legal Name,Involuntarily Dissolved
Business Corporation,60986D,"LIBBY HARSONY LIBBY, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,133634,Life's Lessons Learned LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,10041224,"Lincoln Personnel, LLC",Legal Name,Good Standing
Limited Liability Company,136566,LINDSAY-NELSON HOLDINGS LLC,Legal Name,Voluntarily Dissolved
Foreign Corporate Name Registration,10066722,Linebarger Goggan Blair & Sampson,Legal Name,Expired Name
Name Reservation,10054685,"Linebarger Goggan Blair & Sampson, LLP",Legal Name,Expired Name
Limited Liability Company,10031192,Linsong LLC,Legal Name,Good Standing
Business Corporation,127863,Littler Mendelson Corporation,Legal Name,Good Standing
Limited Liability Company,10022922,"Locals Only Alaska, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,106656,"Long Song Lodge, LLC",Previous Legal Name,Good Standing
Business Name Registration,31562,LOON SONG LODGE,Legal Name,Expired Name
Business Corporation,76780D,"LOON SONG LODGE, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,106656,"Loon Song Lodge, LLC",Legal Name,Good Standing
Limited Liability Company,10044050,Lopez and Sons LLC,Legal Name,Non-Compliant
Limited Liability Company,10029837,"Lora Jean Donaldson, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,125358,"Lori Peterson Realty, Inc.",Legal Name,Good Standing
Business Corporation,71742D,"LOVLEY & SON PAINTING, INC.",Legal Name,Good Standing
Limited Partnership,79657PD,LP MADISON LIMITED PARTNERSHIP,Legal Name,Voluntarily Dissolved
Limited Liability Company,10002189,"Luanne Nelson - All About You - Health Coach, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,121538,"Luke-N-Sons, Inc.",Legal Name,Good Standing
Limited Liability Company,10023433,"Luna Maison, L.L.C.",Legal Name,Good Standing
Limited Liability Company,10000105,M&G PersonalHR Solutions LLC,Legal Name,Involuntarily Dissolved
Business Corporation,59408D,"M-B & SONS SERVICES, INC.",Legal Name,Voluntarily Dissolved
Business Corporation,82078F,"M-L MASONRY, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,28484F,M. A. MORTENSON COMPANY,Legal Name,Good Standing
Professional Corporation,24465D,"M. MARCELL JACKSON, M.D., INC.",Legal Name,Involuntarily Dissolved
Business Name Registration,10031880,M. Petterson Consulting,Legal Name,Active Name
Business Corporation,18612D,"M.E. & A.W. JOHNSON, INC.",Legal Name,Voluntarily Dissolved
Nonprofit Corporation,128301,M.O.M. - Moms On a Mission,Previous Legal Name,Voluntarily Dissolved
Business Name Registration,10022105,MA & SONS,Legal Name,Expired Name
Business Corporation,51599D,"MACARTHUR-WILSON, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10016758,"MacPherson Investment Group, LLC",Legal Name,Good Standing
Business Corporation,10064111,"Macpherson Trading Legacy, Inc.",Legal Name,Good Standing
Nonprofit Corporation,120262,MACPHERSON'S LANDING CONDOMINIUM ASSOCIATION,Legal Name,Good Standing
Business Corporation,10073506,Maddison Group Inc.,Legal Name,Good Standing
Business Corporation,109061,"Maddox & Son Consulting, Inc.",Legal Name,Involuntarily Dissolved
Limited Liability Company,107893,"Madeleine Morrison ND, LLC",Legal Name,Good Standing
Limited Liability Company,107893,"Madeliene Morrison ND, LLC",Previous Legal Name,Good Standing
Limited Liability Company,10073600,"Madison Apartments, LLC",Legal Name,Good Standing
Limited Partnership,10099697,"MADISON AVENUE, LIMITED PARTNERSHIP",Legal Name,Good Standing
Limited Liability Company,10036689,Madison Capital LLC,Legal Name,Revoked
Limited Liability Company,131916,"Madison Consulting & Services, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,77100F,"MADISON CONSULTING GROUP, INC.",Legal Name,Withdrawn
Limited Liability Company,10025728,"Madison Credit Management Services, LLC",Legal Name,Withdrawn
Limited Liability Company,10011974,"Madison Holding Company, LLC",Legal Name,Good Standing
Limited Partnership,134406,Madison Industrial Services Team Limited Partnership,Assumed Name,Good Standing
Limited Partnership,134406,Madison Industrial Services Team Ltd,Legal Name,Good Standing
Business Corporation,128822,Madison Industries,Legal Name,Good Standing
Business Corporation,128822,"Madison Industries, a California Corporation",Assumed Name,Good Standing
Business Corporation,126365,"Madison Insurance Group, Inc.",Legal Name,Good Standing
Limited Liability Company,69352D,MADISON INVESTMENT LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,77456D,MADISON L.L.C.,Legal Name,Involuntarily Dissolved
Business Corporation,8501D,"MADISON LUMBER & HARDWARE, INC.",Legal Name,Good Standing
Limited Liability Company,117509,"Madison Mogul, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10010667,Madison Rae LLC,Legal Name,Involuntarily Dissolved
Nonprofit Corporation,88172D,MADISON RIDGE CONDOMINIUM ASSOCIATION,Legal Name,Good Standing
Limited Liability Company,10033510,"Madison River Investments, LLC",Legal Name,Voluntarily Dissolved
Business Corporation,130650,Madison Services Inc.,Legal Name,Withdrawn
Business Name Registration,117062,Madison True Value,Legal Name,Expired Name
Business Name Registration,10010712,Madison True Value,Legal Name,Active Name
Name Reservation,10083701,MADISON'S FLOORING AND DESIGN CENTER,Legal Name,Expired Name
Business Name Registration,10091082,MADISON'S FLOORING AND DESIGN CENTER,Legal Name,Active Name
Business Corporation,10031410,"Madison, Group, Inc.",Legal Name,Withdrawn
Limited Liability Company,113176,MAGNESON ENTERPRISES LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,10053644,"Magnus One Fisheries, LLC.",Legal Name,Good Standing
Limited Liability Company,77174D,"MAGNUSON AIRWAYS, LLC",Legal Name,Good Standing
Limited Liability Company,10107839,"Magnuson Disaster Solutions, LLC",Legal Name,Good Standing
Business Corporation,90721,Magnusson Klemencic Associates Inc.,Legal Name,Good Standing
Limited Liability Company,122141,"Maison, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,54982D,"MAJDIC & SONS, INC.",Legal Name,Voluntarily Dissolved
Business Corporation,15803D,"MAL & SONS, INC.",Legal Name,Involuntarily Dissolved
Business Name Registration,110191,Maldonado & Sons Snowplowing,Legal Name,Expired Name
Business Name Registration,110564,Manikins on the Move,Legal Name,Expired Name
Business Corporation,41473F,MANSON CONSTRUCTION CO.,Legal Name,Good Standing
Limited Liability Company,71845D,"MANSON, PARKER, STEWART AND ASSOCIATES, LLC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10087976,"Marcuson-Beck & Associates M&A Advisors, LLC",Legal Name,Good Standing
Limited Liability Company,10034593,"Marcuson-Beck & Associates, LLC",Legal Name,Good Standing
Limited Liability Company,10034593,"Marcuson-Beck & Fosselman, LLC",Previous Legal Name,Good Standing
Business Corporation,24971D,"MARIANNE ROBINSON, INC.",Legal Name,Voluntarily Dissolved
Business Corporation,67011F,MARINERS ONLINE INC.,Legal Name,Revoked
Business Corporation,58067D,MARJORI JACKSON BLUE SKY LIMITED,Legal Name,Good Standing
Limited Liability Company,10054902,Mark Galen Jackson LLC.,Legal Name,Involuntarily Dissolved
Nonprofit Corporation,10088392,Mark Torkelson Memorial Foundation,Legal Name,Non-Compliant
Limited Liability Company,65357D,MARKLEY-JOHNSON INVESTMENTS LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,10003667,Markson Enterprises LLC,Legal Name,Good Standing
Limited Liability Company,10098435,"Markson Home Solutions, LLC",Legal Name,Good Standing
Limited Liability Company,10091909,Marquis Robinson LLC,Legal Name,Good Standing
Business Corporation,90857,"Marson Enterprises, Inc.",Legal Name,Involuntarily Dissolved
Business Corporation,10000107,"Martin & Morrison Real Estate Consultants, Inc.",Previous Legal Name,Good Standing
Limited Liability Company,10004889,"Martin & Son, LLC",Legal Name,Good Standing
Business Name Registration,31147,MARTIN HANSON DBA EYEWEAR EXPRESS,Legal Name,Expired Name
Limited Partnership,238PD,MARTINSON GRAVEL AND CRANE,Legal Name,Voluntarily Dissolved
Business Corporation,10081121,Martinson Investments INC,Legal Name,Good Standing
Business Corporation,61697F,MASON & HANGER CORPORATION,Legal Name,Withdrawn
Limited Partnership,10096044,"Mason Asset, Limited Partnership",Legal Name,Good Standing
Limited Liability Company,10006986,"Mason Capitol, LLC",Legal Name,Involuntarily Dissolved
Limited Partnership,67923PD,MASON FAMILY LIMITED PARTNERSHIP,Legal Name,Good Standing
Limited Liability Company,92581,"Mason Family Management, L.L.C.",Legal Name,Good Standing
Business Corporation,102757,Mason McDuffie Mortgage Corp,Legal Name,Withdrawn
Name Reservation,96375,Mason Memories,Legal Name,Expired Name
Limited Liability Company,10106680,"Mason Paul Marketing, LLC",Legal Name,Good Standing
Business Corporation,10005854,MASON PILLION INC,Legal Name,Involuntarily Dissolved
Name Reservation,10111589,Mason the Mason,Legal Name,Canceled Name
Limited Liability Company,10111808,Mason the Mason LLC,Legal Name,Good Standing
Business Corporation,112315,"Mason's Siding Supply, Inc.",Legal Name,Good Standing
Business Corporation,53399F,"MASON, BRUCE & GIRARD, INC.",Legal Name,Revoked
Business Corporation,116078,"Mason, Bruce & Girard, Inc.",Legal Name,Good Standing
Business Corporation,53298D,"MASON, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,111159,"Mason-Mcbride, Inc.",Legal Name,Good Standing
Business Corporation,116D,"MASONIC BUILDING ASSOCIATION, A CORPORATION",Legal Name,Involuntarily Dissolved
Nonprofit Corporation,2760D,"MASONIC TEMPLE HOLDING CO., INC.",Legal Name,Voluntarily Dissolved
Limited Partnership,71825PD,MASSON FAMILY LIMITED PARTNESHIP,Legal Name,Voluntarily Dissolved
Nonprofit Corporation,67540D,"Mat-Su Valley Chapter #5280 Of American Association Of Retired Persons, Inc.",Previous Legal Name,Voluntarily Dissolved
Nonprofit Corporation,78862D,MATANUSKA MASONIC FOUNDATION,Legal Name,Good Standing
Nonprofit Corporation,4654D,MATANUSKA MASONIC TEMPLE HOLDING COMPANY INC.,Legal Name,Good Standing
Business Corporation,10013101,"Mather & Sons Pump Service, Inc.",Legal Name,Good Standing
Business Corporation,10014455,"Matheson Flight Extenders, Inc.",Legal Name,Good Standing
Limited Liability Company,10032680,"Matheson Investments, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,10039791,"MATHESON TRI-GAS, INC.",Legal Name,Good Standing
Limited Liability Company,75611F,"Matson Navigation Company of Alaska, LLC",Legal Name,Good Standing
Business Corporation,102718,"Matson Winery, Inc.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10087191,Matt & Sons LLC,Legal Name,Good Standing
Nonprofit Corporation,10027512,Matthew A. Henson Society,Legal Name,Involuntarily Dissolved
Professional Corporation,62518D,"MATTHEW A. JOHNSON, P.C.",Legal Name,Involuntarily Dissolved
Business Corporation,78914D,MATTHEW AARON JOHNSON INTERIOR CORPORATION,Legal Name,Involuntarily Dissolved
Professional Corporation,84156D,"MATTHEW C BERENSON, M.D., P.C.",Legal Name,Involuntarily Dissolved
Limited Liability Company,82241D,"MATTHEW C. BERENSON, MD, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10017240,"Matthew Paige DDS & Jason M Bressler DDS - Anchorage, LLC",Legal Name,Good Standing
Business Corporation,136900,Matthew Son Corporation,Legal Name,Involuntarily Dissolved
Limited Liability Company,133472,MATTISON DEVELOPMENT LLC,Legal Name,Good Standing
Limited Liability Company,70596D,"MATTSON INVESTIGATIONS, LLC",Legal Name,Good Standing
Limited Partnership,66257PD,MAUCH-ANDERSON LIMITED PARTNERSHIP,Legal Name,Voluntarily Dissolved
Limited Liability Company,78636D,"MAUER-JOHNSON, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10052058,"MAUER-JOHNSON, LLC",Legal Name,Good Standing
Professional Corporation,84725D,"MAX W SWENSON, DMD, PC",Legal Name,Good Standing
Limited Liability Company,115677,Maxson Management LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,10027804,"MAXSON MANAGEMENT, L.L.C.",Legal Name,Revoked
Limited Partnership,10027802,"MAXSON SAFETY, LIMITED PARTNERSHIP",Legal Name,Withdrawn
Limited Liability Company,10117919,May and Son LLC,Legal Name,Good Standing
Business Corporation,66749D,"McAllen & Son Electric, Inc.",Legal Name,Good Standing
Business Corporation,66749D,"MCALLEN & SON, INC.",Previous Legal Name,Good Standing
Business Corporation,4804F,"MCCANN-ERICKSON USA, INC.",Legal Name,Revoked
Business Corporation,108701,"McClaren, Wilson, & Lawrie, Inc.",Legal Name,Good Standing
Business Corporation,48575F,MCCLURE AND SONS INC.,Legal Name,Good Standing
Limited Liability Company,30618D,"MCCOOL - CARLSON - GREEN, INC.",Previous Legal Name,Good Standing
Limited Liability Company,30618D,"MCCOOL - CARLSON - GREEN, LLC",Legal Name,Good Standing
Business Corporation,70038F,MCKESSON AUTOMATION INC.,Legal Name,Revoked
Business Corporation,65847F,MCKESSON AUTOMATION SYSTEMS INC.,Legal Name,Good Standing
Business Corporation,58197F,MCKESSON BIOSERVICES CORPORATION,Previous Legal Name,Good Standing
Business Corporation,54561F,MCKESSON CORPORATION,Legal Name,Good Standing
Business Name Registration,29446,MCKESSON DRUG COMPANY,Legal Name,Expired Name
Limited Liability Company,72071F,MCKESSON HEALTH SOLUTIONS HOLDINGS INC.,Previous Legal Name,Revoked
Limited Liability Company,72071F,MCKESSON HEALTH SOLUTIONS HOLDINGS LLC,Legal Name,Revoked
Limited Liability Company,119975,McKesson Health Solutions Holdings LLC,Legal Name,Revoked
Limited Liability Company,71180F,MCKESSON HEALTH SOLUTIONS LLC,Legal Name,Merged
Limited Liability Company,66819F,MCKESSON INFORMATION SOLUTIONS INC.,Previous Legal Name,Merged
Limited Liability Company,66819F,MCKESSON INFORMATION SOLUTIONS LLC,Legal Name,Merged
Limited Liability Company,115480,MCKESSON MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC,Legal Name,Good Standing
Business Corporation,82350F,MCKESSON MEDICAL-SURGICAL INC.,Legal Name,Good Standing
Business Corporation,48849F,MCKESSON MEDICAL-SURGICAL MEDI MART INC.,Legal Name,Good Standing
Business Corporation,54547F,MCKESSON MEDICAL-SURGICAL MEDINET INC.,Legal Name,Withdrawn
Business Corporation,48852F,MCKESSON MEDICAL-SURGICAL MINNESOTA SUPPLY INC.,Legal Name,Good Standing
Limited Liability Company,60326F,MCKESSON MEDICATION MANAGEMENT LLC,Previous Legal Name,Withdrawn
Business Corporation,118627,"McKesson Patient Care Solutions, Inc.",Legal Name,Good Standing
Limited Liability Company,118056,McKesson Pharmacy Systems LLC,Legal Name,Good Standing
Limited Liability Company,121057,McKesson Plasma and Biologics LLC,Legal Name,Good Standing
Business Corporation,56538F,MCKESSON SPECIALTY ARIZONA INC.,Legal Name,Merged
Limited Liability Company,90825,McKesson Specialty Distribution LLC,Legal Name,Good Standing
Limited Liability Company,10021936,McKesson Specialty Health Technology Products LLC,Legal Name,Good Standing
Limited Liability Company,76106F,MCKESSON SPECIALTY PHARMACEUTICALS LLC,Legal Name,Withdrawn
Limited Partnership,102597,"McKesson Specialty Pharmacy, Limited Partnership",Assumed Name,Merged
Limited Partnership,102597,"McKesson Specialty Pharmacy, LP",Legal Name,Merged
Business Corporation,126475,McKesson Technologies Inc.,Legal Name,Withdrawn
Limited Liability Company,10053920,MCKESSON TECHNOLOGIES LLC,Previous Legal Name,Good Standing
Limited Liability Company,10045613,"McPherson & McPherson, LLC",Legal Name,Good Standing
Business Corporation,61142D,"MCPHERSON & SON, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,87983D,"MCPHERSON & SON, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,87985D,"MCPHERSON ENTERPRISES, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10041469,MCPHERSON MUSIC LLC,Previous Legal Name,Good Standing
Limited Liability Company,10019238,"McPherson Rentals, LLC",Legal Name,Good Standing
Foreign Corporate Name Registration,26128,MCPHERSON STRUT COMPANY INC.,Legal Name,Expired Name
Limited Liability Company,75389F,MEAD JOHNSON & COMPANY,Previous Legal Name,Revoked
Limited Liability Company,75389F,MEAD JOHNSON & COMPANY LLC,Legal Name,Revoked
Limited Liability Company,10006604,"Mead Johnson & Company, LLC",Legal Name,Good Standing
Business Corporation,130557,Mead Johnson Nutrition Company,Legal Name,Good Standing
Business Name Registration,89002,MEAD JOHNSON NUTRITIONALS,Legal Name,Expired Name
Business Name Registration,10072172,MEALS ON WHEELS OF MAT SU VALLEY,Legal Name,Active Name
Limited Liability Company,113537,"Medicine Song, LLC",Legal Name,Good Standing
Limited Liability Company,10011368,"MedUnison, LLC",Legal Name,Revoked
Business Corporation,74483D,"MEIRESONNE, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,21031D,"MELIN & SONS, INCORPORATED",Legal Name,Involuntarily Dissolved
Business Corporation,73810D,"MELISSA ANDERSON & ASSOCIATES, INC.",Legal Name,Good Standing
Nonprofit Corporation,71392D,MEMORY LAKES ESTATES ONE OWNERS' ASSOCIATION,Legal Name,Good Standing
Business Corporation,57583F,"MEYERSONSHINE, INC.",Legal Name,Revoked
Business Corporation,57034F,"MFS DOMESTIC PERSONNEL, INC.",Legal Name,Merged
Limited Liability Company,91736,Michael Guy Peterson LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,88155D,"MICHAEL W. ANDERSON, LLC",Legal Name,Involuntarily Dissolved
Limited Partnership,74300PD,MICKELSON FAMILY LIMITED PARTNERSHIP,Legal Name,Voluntarily Dissolved
Nonprofit Corporation,10051220,Midnatsol Sons of Norway Lodge,Legal Name,Good Standing
Nonprofit Corporation,71744D,MIDNIGHT SON MINISTRIES,Legal Name,Involuntarily Dissolved
Nonprofit Corporation,103471,Midnight Son Ministries,Legal Name,Involuntarily Dissolved
Business Name Registration,10054466,MIDNIGHT SON TOURS,Legal Name,Canceled Name
Business Corporation,126617,"Midnight Son's Graphics, Inc.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10058035,Midnight Sonne Art LLC,Legal Name,Good Standing
Nonprofit Corporation,10098004,Midnight Sons Volleyball Club,Legal Name,Good Standing
Business Corporation,27720D,MIKE CARSON REALTY INC.,Legal Name,Involuntarily Dissolved
Business Corporation,39896D,"MILITARY ASSISTED SERVICEPERSON'S HOUSING, INC.",Legal Name,Voluntarily Dissolved
Business Corporation,93415,Military Personnel Services Corporation,Legal Name,Revoked
Professional Corporation,11487D,"Milner, Howard, Mortensen , Palmer & Johnson PC CPAs",Previous Legal Name,Good Standing
Professional Corporation,11487D,"Milner, Howard, Palmer & Johnson PC CPAs",Previous Legal Name,Good Standing
Limited Liability Company,109355,"Milo & Son, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,63800D,MIRSONS INTERNATIONAL ALASKA LTD.,Legal Name,Good Standing
Business Corporation,66862D,MIRSONS INTERNATIONAL JUNEAU LTD.,Legal Name,Involuntarily Dissolved
Limited Liability Company,74272D,MIRSONS INTERNATIONAL LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,78495D,MIRSONS JUNEAU LLC,Legal Name,Good Standing
Limited Liability Company,79574D,MIRSONS LLC,Legal Name,Involuntarily Dissolved
Nonprofit Corporation,117878,"MISSING PERSONS REGISTRY.COM, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10052388,MJ's One Stop Vape Shop LLC,Legal Name,Good Standing
Limited Liability Company,10096203,Mom and Son LLC,Legal Name,Good Standing
Nonprofit Corporation,128301,Moms On a Mission,Legal Name,Voluntarily Dissolved
Business Corporation,85598D,"MONICA JOHNSON INSURANCE AGENCY, INC.",Legal Name,Good Standing
Limited Partnership,1419PD,MONSON FAMILY LIMITED PARTNERSHIP,Legal Name,Voluntarily Dissolved
Limited Liability Company,10095921,"MONSON FISH COMPANY, LLC",Legal Name,Good Standing
Nonprofit Corporation,10004105,"Montgomery Dickson Cultural Fund, Inc.",Legal Name,Good Standing
Limited Liability Company,125368,"Moore & Sons Automotive, LLC",Legal Name,Good Standing
Limited Liability Company,136258,Morehouse and Sons Excavation LLC,Legal Name,Voluntarily Dissolved
Limited Liability Company,61455D,MORGANSON INTERNATIONAL BANCORP LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,10077285,"Morris & Dickson., L.L.C.",Legal Name,Good Standing
Nonprofit Corporation,85242D,MORRIS THOMPSON CULTURAL & VISITORS CENTER,Legal Name,Good Standing
Business Corporation,16241D,"MORRISON AUTO GROUP, INC.",Legal Name,Voluntarily Dissolved
Limited Liability Company,129781,"Morrison Children Separate Property, L.L.C.",Legal Name,Involuntarily Dissolved
Limited Liability Company,87744D,"MORRISON CONSULTING SERVICES, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,10095342,Morrison Creative Investments INC,Legal Name,Good Standing
Business Name Registration,128610,Morrison Family Investment Enterprise,Legal Name,Expired Name
Business Corporation,115577,Morrison Hershfield Corporation,Legal Name,Good Standing
Limited Liability Company,10106389,"Morrison Investment Properties, LLC",Legal Name,Good Standing
Limited Liability Company,84289D,"MORRISON INVESTMENTS, LLC",Legal Name,Good Standing
Limited Liability Company,56355F,"MORRISON KNUDSEN FORT KNOX PROJECT LIMITED, LLC",Legal Name,Revoked
Business Corporation,10021489,"Morrison Management Specialists, Inc.",Legal Name,Good Standing
Business Corporation,48050D,"MORRISON MECHANICAL INSULATION, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,124163,"Morrison-Maierle, Inc.",Legal Name,Good Standing
Business Name Registration,109648,Mortenson Construction,Legal Name,Expired Name
Limited Liability Company,71046D,"MOSCH MASONRY, L.L.C.",Legal Name,Involuntarily Dissolved
Nonprofit Corporation,42838D,"MOST WORSHIPFUL GRAND LODGE OF THE FREE AND ACCEPTED MASONS OF ALASKA, INC.",Legal Name,Good Standing
Business Corporation,10079572,MSDSonline Inc.,Legal Name,Good Standing
Nonprofit Corporation,10385D,"Mt. Juneau Chapter #865 Of American Association Of Retired Persons, Inc.",Previous Legal Name,Involuntarily Dissolved
Business Corporation,77844F,MTV NETWORKS ON CAMPUS INC.,Legal Name,Good Standing
Limited Liability Company,10118733,"Mukkove Johnson Coaching, LLC",Legal Name,Good Standing
Business Corporation,10020117,Muldoon In Son Corporation,Legal Name,Involuntarily Dissolved
Limited Liability Company,65585D,"MUNSON GENERAL CONTRACTING, LLC",Legal Name,Involuntarily Dissolved
