Business Name,Business ID,Homestate Name,Previous Name,Business Type,Principal Office Address,Registered Agent Name,Status
"Murphy, Powers & Wilson, Certified Public Accountants, P.C.",196760,,"BREWSTER, COBURN, OUELLET & BRIDGE, P.C.",Domestic Professional Profit Corporation,"1 MERRILL INDUSTRIAL DRIVE, HAMPTON, NH, 03842, USA","Wilson, Daniel E",Good Standing
"Murphy, Powers & Wilson, Certified Public Accountants, P.C.",196760,,"COBURN, OUELLET & BRIDGE, P.C.",Domestic Professional Profit Corporation,"1 MERRILL INDUSTRIAL DRIVE, HAMPTON, NH, 03842, USA","Wilson, Daniel E",Good Standing
"Murphy, Powers & Wilson, Certified Public Accountants, P.C.",196760,,"BREWSTER, COBURN, OUELLET & BRIDGE, C.P.A.S P.C.",Domestic Professional Profit Corporation,"1 MERRILL INDUSTRIAL DRIVE, HAMPTON, NH, 03842, USA","Wilson, Daniel E",Good Standing
"Murphy, Powers & Wilson, Certified Public Accountants, P.C.",196760,,"Bcob Certified Public Acoountants, P.C.",Domestic Professional Profit Corporation,"1 MERRILL INDUSTRIAL DRIVE, HAMPTON, NH, 03842, USA","Wilson, Daniel E",Good Standing
MURRAY AND SONS WASTE,770943,,,Trade Name,"358 Churchill Road, Mason, NH, 03048, USA",,Active
MUSCLES ON THE MOVE,176036,,,Trade Name,"228 MAPLE ST, MANCHESTER, NH, 03103, USA",,Expired
MUSIC FOR A SONG,415213,,,Trade Name,"LAKES REGION FACTORY STORES 120 LACONIA ROAD STE 120, TILTON, NH, 03276, USA",,Expired
MUSIC WORLD SONG CONTEST,78080,,,Trade Name,"PO BOX 785, E. HAMPSTEAD, NH, 03826, USA",,Expired
MUSSON LLC,276719,,,Domestic Limited Liability Company,"704 MILFORD RD #6, MERRIMACK, NH, 03054, USA","Musson, Charles R",Admin Dissolution
Mutual Express Company,B51256,,Watson's Express Company,Domestic Profit Corporation,"Unknown, Manchester, NH, 03101, USA",,Admin Dissolution
MVP Home Improvements Inc,186916,,"MERRIMACK VALLEY PERSONALIZED HOME IMPROVEMENTS, INC.",Domestic Profit Corporation,"60 Rockingham Road U11, Windham, NH, 03087, USA","Blanchard, Marc J",Good Standing
MVP Personnel Staffing,702702,"Personnel Staffing Group, LLC",,FORCED DBA,"666 Dundee Rd. Suite 201, Northbrook, IL, 60062, USA",,Expired
MVP PERSONNEL STAFFING,702700,"PERSONNEL STAFFING GROUP, LLC",,Foreign Limited Liability Company,"1751 Lake Cook Rd., Suite 600, Deerfield, IL, 60015, USA",Corporate Creations Network Inc.,Not In Good Standing
MVR Transonics Corp,656513,,,Domestic Profit Corporation,"Unknown, Lee, NH, 03824, USA",,Admin Dissolution
"MWH AMERICAS, INC.",213711,"MWH AMERICAS, INC.","MONTGOMERY WATSON AMERICAS, INC.",Foreign Profit Corporation,"370 Interlocken Blvd., Suite 300, Broomfield, CO, 80021, USA",CORPORATION SERVICE COMPANY,Merged
"MWH Constructors, Inc.",428015,"MWH Constructors, Inc.",MONTGOMERY WATSON HARZA CONSTRUCTORS,Foreign Profit Corporation,"370 Interlocken Blvd., Suite 300, Broomfield, CO, 80021, USA",CORPORATION SERVICE COMPANY,Good Standing
MY 2 SONS AUTO CENTRE,79450,,,Trade Name,"RT 3A, HOOKSETT, NH, 03106, USA",,Expired
MY 3 SON'S,138229,,,Trade Name,"15 JUNIPER DRIVE, LACONIA, NH, 03246, USA",,Expired
MY 3 SON'S,159955,,,Trade Name,"77 ALLEN RD., BOW, NH, 03304, USA",,Expired
My Local Coupons Online LLC,603029,,,Domestic Limited Liability Company,"212 Kinsman Road, Grafton, NH, 03240, USA","Roberts, Nicole",Admin Dissolution
MY OWN PERSONAL CHEF,417980,,,Trade Name,"358 THORNTON ST, PORTSMOUTH, NH, 03801, USA",,Expired
My Personal Assistant,653830,,,Trade Name,"134 Lakeshore Dr, Northwood, NH, 03261, USA",,Expired
"My Personal Counselor, LLC",737565,,,Domestic Limited Liability Company,"113 BEACH PLAIN ROAD, Danville, NH, 03819, USA","Monzo, Tara",Good Standing
MY PERSONAL STORY BOOKS,161029,,,Trade Name,"P O BOX 7836, NASHUA, NH, 03060, USA",,Expired
"My Seasons Retreat, LLC",723409,,,Domestic Limited Liability Company,"3 Richardi Lane, North Conway, NH, 03860, USA","Phillips, Theodore G",Not In Good Standing
My Three Sons Floor Refinishing,561951,,,Trade Name,"252 Moose Mountain Drive, Clarksville, NH, 03592, USA",,Expired
My Three Sons LLC,715596,,,Domestic Limited Liability Company,"1088 Woodsville Road, Monroe, NH, 03771, USA","LeClair, Wendy M",Good Standing
MY TWO SONS AUTO CENTER,148544,,,Trade Name,"85 W. RIVER ROAD, HOOKSETT, NH, 03106, USA",,Expired
"MYERS-PRESCOTT-OLSON POST #50, AMERICAN LEGION",61841,,,Domestic Nonprofit Corporation,"7 West Street, Antrim, NH, 03440, USA",,Good Standing
MYERSON AND CHAMBERLAIN MGT. CO.,317067,,,Trade Name,"1 OLD DOCK ST, SCITUATE, MA, 02066, USA",,Expired
"MYERSON RENTAL PROPERTY, LLC",733488,,,Domestic Limited Liability Company,"1649 Coppermine Rd, Monroe, NH, 03771, USA","Nason, Edwin",Good Standing
"MyNetAuctions, LLC",700015,,New England Treasures Online Auctions LLC,Domestic Limited Liability Company,"2479 Lime Kiln Road, North Haverhill, NH, 03774, USA","Robie, Kim",Administratively Dissolved
"Myrton W. Edson, Corporation",694833,,,Domestic Profit Corporation,"Unknown, Walpole, NH, 03608, USA",,Admin Dissolution
MYSON INTERNATIONAL,89243,,,Trade Name,"15 WILLOWBROOK APTS. P.O. BOX 717, ROCHESTER, NH, 03867, USA",,Expired
"MYSON, LLC",318537,,,Domestic Limited Liability Company,"66 Portsmouth Avenue, Greenland, NH, 03840, USA","Sennott, Andrea L, Esq",Good Standing
N&E Property Solutions,707649,"Mason Property Solutions, Inc.",,Foreign Profit Corporation,"1000 Elm Street #815, Manchester, NH, 03105, USA","Boyd, Norman",Admin. Suspension
N&E Property Solutions,707652,"Mason Property Solutions, Inc.",,Trade Name,"1000 Elm Street #815, Manchester, NH, 03105, USA",,Expired
N. Bickford Masonry LLC,558437,,,Domestic Limited Liability Company,"25 Hutchinson Street, Franklin, NH, 03235, USA","Bickford, Nathan W",Admin Dissolution
N. GEORGE & SONS,37655,,,Trade Name,"136 WINCHESTER ST., KEENE, NH, 03431, USA",,Expired
"N. Granese & Sons, Inc.",619885,"N. Granese & Sons, Inc.",,Foreign Profit Corporation,"59 Jefferson Avenue, Salem, MA, 01970, USA","Granese, Eileen",Good Standing
N. H. GRANITE MASONRY CO.,93075,,,Trade Name,"801 PLAUSAWA HILL ROAD, PEMBROKE, NH, 03275, USA",,Expired
"N. H. MORRISON & SONS, INC.",17542,,,Domestic Profit Corporation,"12 WILLOW ST, BRISTOL, NH, 03222, USA",HARRIET R MORRISON,Admin Dissolution
"N. H. RING & SONS, INC.",20041,,,Domestic Profit Corporation,"PINGREE HILL RD PO BOX 260, AUBURN, NH, 03032, USA","Komaridis, Alex",Dissolved
"N. H. SANDERSON & CO., INC.",70880,,,Domestic Profit Corporation,"QUARRY RD, FRANCESTOWN, NH, 03043, USA","Little, Silas, Esq",Dissolved
N. P. SEVIGNY & SONS,46397,,,Trade Name,"91 MERRIMACK STREET, LACONIA, NH, 03246, USA",,Expired
N. R. FOGG & SON,64445,,,Trade Name,"CORNER OF ROUTE 119 AND 202, RINDGE, NH, 03461, USA",,Expired
"N. R. FOGG & SON, INC.",183779,,,Domestic Profit Corporation,"462 US RT 202, RINDGE, NH, 03461, USA","Fogg, Evelyn",Administratively Dissolved
"N. Sacca & Sons, Inc.",696448,"N. Sacca & Sons, Inc.",,Foreign Profit Corporation,"50 Brighton St., Belmont, MA, 02478, USA","Bangs, Eugene",Admin. Suspension
"N. T. BATTLES & SON, INC.",111354,,,Domestic Profit Corporation,"4 MAIN ST, KINGSTON, NH, 03848, USA","Richards, Edward W, Esq",Admin Dissolution
"N. W. MORRISSETTE & SONS, INC.",125386,,,Domestic Profit Corporation,"518 SHORE DRIVE, LACONIA, NH, 03246, USA","Dietz, Robert A, Esq",Good Standing
N.A. Banks & Son Inc.,B56344,,,Domestic Profit Corporation,"Unknown, Chester, NH, 03036, USA",,Admin Dissolution
N.A. SARGENT & SONS CONTRACTING LLC,817676,,,Domestic Limited Liability Company,"229 Main Street, New Ipswich, NH, 03071, USA",Ashley Sargent,Good Standing
N.E. Persona Custom Gifts + Logos,731285,,,Trade Name,"22 Belmont Drive, Merrimack, NH, 03054, USA",,Active
N.E. PERSONAL PROPERTY APPRAISERS,219537,,,Trade Name,"126-G HALL ST, CONCORD, NH, 03301, USA",,Expired
"N.F. NICETTA & SON, INC.",4287,"N.F. NICETTA & SON, INC.",,Foreign Profit Corporation,"91 BELMONT ST, N ANDOVER, MA, 01845, USA","Stevens, Robert M",Admin. Suspension
N.H. Bragg & Sons Inc.,595265,N.H. Bragg & Sons,,Foreign Profit Corporation,"92 Perry Road, Bangor, ME, 04401, USA",No Registered Agent on file,Administratively Suspended Name Protection
"N.H. CARPENTIER II & SON, INC.",114918,,,Domestic Profit Corporation,"66 JERICHO ROAD, PELHAM, NH, 03076, USA","Carpentier, Norman H., II",Dissolved
N.H. WILSON AND COMPANY,408650,,,Trade Name,"11 WALNUT HILL ROAD, AMHERST, NH, 03031, USA",,Expired
"N.M. MASONRY, INC",391661,,,Domestic Profit Corporation,"9 NEW SEARLES RD., NASHUA, NH, 03062, USA",NEAL MAINEY,Dissolved
"NA FITNESS PERSONAL TRAINING STUDIO, LLC",796098,"NA FITNESS PERSONAL TRAINING STUDIO, LLC",,Foreign Limited Liability Company,"200 Jefferson Rd Suite 105, Wilmington, MA, 01887, USA",Nancy M Andreoli,Rejected
"NACZAS & SON, INC.",19822,,,Domestic Profit Corporation,"80 MAPLE ST., MANCHESTER, NH, 03103, USA","Dastin, Robert E, Esq",Dissolved
"NADEAU HUDSON, LLC",476845,,,Domestic Limited Liability Company,"THIRTY PINES PLAZA, PENACOOK, NH, 03303, USA",KIM HUDSON,Admin Dissolution
"NADEAU, J. P., & SONS, INC.",12873,,,Domestic Profit Corporation,"601 CENTRAL STREET, DOVER, NH, 03820, USA","Nadeau, Joseph P, Esq",Dissolved
"NAGY& SON'S, LLC",807348,,,Domestic Limited Liability Company,"20 Silver Street, Dover, NH, 03820, USA",Stephanie Nagy,Not In Good Standing
Nails 2000 of Hudson,573710,,,Trade Name,"76 Derry Road, Hudson, NH, 03051, USA",,Expired
"NANA ELLISON, INC.",196215,,,Domestic Profit Corporation,"30 SO. MAIN ST, CONCORD, NH, 03301, USA","Ellison, Nana R.",Dissolved
Nancy Jackson Design,648769,,,Trade Name,"80 Carriage Way #4, Manchester, NH, 03102, USA",,Expired
"Nancy Larson Publishers, Inc.",706141,"Nancy Larson Publishers, Inc.",,Foreign Profit Corporation,"27 Talcott Farm Road, Old Lyme, CT, 06371, USA",COGENCY GLOBAL INC.,Good Standing
NANCY STEENSON DESIGN,485130,,,Trade Name,"88 Pine St, Danville, NH, 03819, USA",,Expired
Nancy's Personal Touch LLC,706709,,,Domestic Limited Liability Company,"58 Branch Tpk #109, Concord, NH, 03301, USA","Turner, Nancy",Admin Dissolution
"NASH & YARRISON LIMITED, INC.",156749,,,Domestic Profit Corporation,"4 VALENTINE DR, BARRINGTON, NH, 03825, USA","Nash, Launcelot C.",Dissolved
"NASH GARABEDIAN & SON, INC.",13438,,,Domestic Profit Corporation,"47 SALEM ST, SALEM, NH, 03079, USA",NASH GARABEDIAN,Dissolved
NASH HUDSON ASSOCIATES,104896,,,Trade Name,"89 AMHERST STREET, HUDSON, NH, 03060, USA",,Expired
NASH HUDSON ASSOCIATES,212515,,,Trade Name,"89 AMHERST STREET, NASHUA, NH, 03060, USA",,Expired
Nash Thompson Independent,693994,,,Trade Name,"PO Box 144, Hopkinton, NH, 03229, USA",,Expired
"NASHUA AREA CHAPTER #622 OF AARP, INC.",61852,,"NASHUA AREA CHAPTER #622 OF AMERICAN ASSOCIATION OF RETIRED PERSONS, INC.",Domestic Nonprofit Corporation,"Holiday Inn, 9 Northeastern Blvd, Nashua, NH, 03062, USA",,Good Standing
NASHUA AREA NEWCOMER'S CLUB,66359,,NEWCOMERS CLUB OF NASHUA-HUDSON,Domestic Nonprofit Corporation,"P.O. BOX 3714, NASHUA, NH, 03060, USA",,Dissolved
"NASHUA AREA REALTORS ON RESERVE, LLC",498274,,,Domestic Limited Liability Company,"11 Mt Pleasant Street, Nashua, NH, 03063, USA",FULTON W GAYLORD,Admin Dissolution
Nashua Express One,691780,,,Trade Name,"680 Mast Road, Goffstown, NH, 03045, USA",,Expired
Nashua Guitar Lessons LLC,620966,,,Domestic Limited Liability Company,"491 Amherst St Ste 4, Nashua, NH, 03063, USA","Santos, Neil",Admin Dissolution
NASHUA HARLEY DAVIDSON,417401,,,Trade Name,"PO Box 1810, Merrimack, NH, 03054, USA",,Expired
NASHUA MARTIAL ART CENTER FOR PERSONAL DEVELOPMENT,334191,,,Trade Name,"433 AMHERST STREET, NASHUA, NH, 03063, USA",,Expired
NASHUA NORTH BAMBINO DIVISON BABE RUTH BASEBALL,86275,,,Trade Name,"71 CONCORD STREET, NASHUA, NH, 03060, USA",,Expired
"NASHUA PERSONNEL, INC.",35721,,,Domestic Profit Corporation,"NASHUA, NH, 03060, USA",LINDA AMMANN,Dissolved
Nason Consulting Inc.,718442,,,Domestic Profit Corporation,"726 N. Pembroke Rd, Pembroke, NH, 03275, USA","Nason, Noel",Dissolved
Nason Electric,615124,,,Trade Name,"60 Troy Hill Road, E Swanzey, NH, 03446, USA",,Expired
"Nason Fire & Police Supply Co., Inc.",545339,,,Domestic Profit Corporation,"78 Regional Dr, Concord, NH, 03301, USA","Graves, Robert C",Admin Dissolution
NASON FIRE AND POLICE SUPPLY,451194,,,Trade Name,"RTE 106 58 CHENELL DR, CONCORD, NH, 03301, USA",,Expired
Nason Investigations,571053,,,Trade Name,"17 Frost Lane, Webster, NH, 03303, USA",,Expired
NASON LANE CAFE,447329,,,Trade Name,"1 COLLOEGE DR, CLAREMONT, NH, 03743, USA",,Expired
Nason Lumber Inc.,B55618,,,Domestic Profit Corporation,"Unknown, Littleton, NH, 03561, USA",,Admin Dissolution
"Nason Oil Company, Inc.",B54771,,,Domestic Profit Corporation,NONE,,Admin Dissolution
"Nason Property Care, LLC",735687,,,Domestic Limited Liability Company,"349 Dale Rd, Center Sandwich, NH, 03227, USA","Nason, Scott F.",Good Standing
NASON PROPERTY MANAGEMENT LLC,805485,,,Domestic Limited Liability Company,"314 DALE RD, Center Sandwich, NH, 03227, USA",BENJAMIN NASON,Good Standing
"Nason Recovery Group, LLC",580308,,,Domestic Limited Liability Company,"17 Frost Lane, Webster, NH, 03303, USA","Nason, Seldon E, Jr",Administratively Dissolved
Nason Technologies,539693,,,Trade Name,NONE,,Expired
"NASON WOODWORKING, INC.",239274,,,Domestic Profit Corporation,"30 BEECH HILL ROAD, ANDOVER, NH, 03216, USA","Nason, Stephen",Admin Dissolution
NASON'S AUTO,297729,,,Trade Name,"342 DUSTIN TAVERN R0AD, WEARE, NH, 03281, USA",,Expired
NASONE APPRAISERS & CONSULTANTS,425228,,,Trade Name,"30 BAYRIDGE DR. UNIT A, NASHUA, NH, 03062, USA",,Expired
"Nat Robinson & Sons, Inc.",B56476,,,Domestic Profit Corporation,"Unknown, Laconia, NH, 03246, USA",,Admin Dissolution
"Nate Adams & Sons, Trucking and Excavation LLC",570694,,,Domestic Limited Liability Company,"508 Chestnut Hill Rd, Farmington, NH, 03835, USA","Adams, Nathan M",Admin Dissolution
"Nathan A. Swanson, DDS, PLLC",559778,,,Domestic Professional Limited Liability Company,"60 EXETER RD Building 100, Suite 105, Newmarket, NH, 03857, USA","LaFond, Michel A, Esq",Good Standing
"NATIONAL ASSOCIATION OF RETIRED PERSONS, INC.",73616,"NATIONAL ASSOCIATION OF RETIRED PERSONS, INC.",,Foreign Profit Corporation,"BLDG II, SUITE 155 10300 N CENTRAL EXPY, DALLAS, TX, 75231, USA",C T Corporation System,Admin. Suspension
NATIONAL HEALTHCARE PERSONNEL CONSULTANTS,161355,,,Trade Name,"3 QUINCY LANE, MERRIMACK, NH, 03054, USA",,Expired
"National Parkinson Foundation, Inc.",738155,"National Parkinson Foundation, Inc.",,Foreign Nonprofit Corporation,"200 SE 1st Ste 800, Miami, FL, 33131, USA",Corporate Creations Network Inc.,Withdrawn
NATIONAL PLANNING CORPORATION,294194,NATIONAL PLANNING CORPORATION,"JACKSON NATIONAL FINANCIAL SERVICES, INC.",Foreign Profit Corporation,"51 Buckskin Road, Bell Canyon, CA, 91307, USA",State of NH - Secretary of State,Withdrawn
Natural Designs by Suzanne Sampson,584061,,,Trade Name,"160 Plaistow Rd Unit 22, Plaistow, NH, 03865, USA",,Expired
"Natural Physique Personal Training, LLC",473065,,"NATURAL PHYSIQUE 2, LLC",Domestic Limited Liability Company,"115 Northeastern Blvd, Nashua, NH, 03062, USA","LaCourse, Diane T",Good Standing
Natural Wellbeing Massage LLC,675926,,Natural Wellbeing Neuromuscular Massage by Clare Mallinson LLC,Domestic Limited Liability Company,"7A Grange Road, Tilton, NH, 03276, USA","Mallinson, Clare",Dissolved
"Naughton & Daughters Recycling, Inc.",139210,,"NAUGHTON & SON RECYCLING, INC.",Domestic Profit Corporation,"Jones Road, Bradford, NH, 03221, USA","Bedard, Biron L, Esq",Good Standing
NAUGHTON & SON RECYCLING,31870,,,Trade Name,"MAIN STREET, BRADFORD, NH, 03221, USA",,Expired
"Naughton & Son Recycling, LLC",606732,,,Domestic Limited Liability Company,"Jones Road, Bradford, NH, 03221, USA","Bedard, Biron L, Esq",Good Standing
"NAUGHTON & SONS DISPOSAL SERVICES, INC.",35722,,,Domestic Profit Corporation,"BRADFORD, NH, 03221, USA","Shapiro, R Peter, Esq",Dissolved
"NAYLOR WOODTURNING, INC.",92111,,"PARSONS AND STARK WOODTURNING, INC.",Domestic Profit Corporation,"15 SUMMER ST, CHARLESTOWN, NH, 03603, USA","Parsons, Ernest H.",Dissolved
NB Hardscapes & Masonry LLC,697447,,,Domestic Limited Liability Company,"216 Hodgdon Rd, Northfield, NH, 03276, USA","Bickford, Nathan W",Good Standing
"NCS Online Resources, LLC",612365,,,Domestic Limited Liability Company,"PO Box 681, Pelham, NH, 03076, USA","Sprague, Nathan C",Admin Dissolution
"NCS PEARSON, INC.",75297,"NCS PEARSON, INC.","NATIONAL COMPUTER SYSTEMS, INC.",Foreign Profit Corporation,"5601 Green Valley Drive, Bloomington, MN, 55437, USA",C T Corporation System,Good Standing
"NEAL & SON EXCAVATING, LLC",407836,,,Domestic Limited Liability Company,"64 HAIGH RD, BRENTWOOD, NH, 03833, USA","Tucker, Charles F, Esq",Admin Dissolution
"NEAT & WILSON, INC",831570,"NEAT & WILSON, INC",,Foreign Profit Corporation,"10739 S US 127, PO Box 82, Dunnville, KY, 42528, USA",C T Corporation System,Good Standing
"Ned Masonry, LLC",556225,,,Domestic Limited Liability Company,"28 Charron Avenue, Nashua, NH, 03063, USA","Sulyeviq, Nedim",Admin Dissolution
"Nefab Packaging, Inc.",6828,,"JOHN F. CHICK & SON, INC.",Domestic Profit Corporation,"204 Airline Dr, Ste 100, Coppell, TX, 75019, USA",CORPORATION SERVICE COMPANY,Good Standing
"Negm & Sons Investments, LLC",480242,,,Domestic Limited Liability Company,"302 MAIN STREET, SOMERSWORTH, NH, 03878, USA","Negm, Michael A",Good Standing
Neilson Construction LLC,600436,,,Domestic Limited Liability Company,"1440 Pearl Lake Rd, Lisbon, NH, 03585, USA","Neilson, Paul",Admin Dissolution
NEILSON TECHNOLOGIES,201657,,,Trade Name,"427-3 AMHERST ST. SUITE 108, NASHUA, NH, 03063, USA",,Expired
NELS P. NELSON & SONS PLUMBING & HEATING,159717,,,Trade Name,"SUMMER STREET P.O. BOX 563, LANCASTER, NH, 03584, USA",,Expired
Nels P. Nelson III & Son's Plumbing & Heating,582312,,,Trade Name,"288 Main St, Lancaster, NH, 03584, USA",,Active
"NELSON & MARION, CPA",203257,,,Trade Name,"14 STILES ROAD, SALEM, NH, 03079, USA",,Expired
"Nelson & Marion, CPAS LLP",263697,,,Domestic Limited Liability Partnership,"14 STILES RD STE 102, SALEM, NH, 03079, USA","Nelson, Andrew J, CPA",Dissolved
"Nelson & Small Energy Conservation Products, Inc.",420385,"Nelson & Small Energy Conservation Products, Inc.","MASSACHUSETTS ENERGY CONSERVATION SYSTEMS, INC.",Foreign Profit Corporation,"212 CANCO ROAD, PORTLAND, ME, 04103, USA",C T Corporation System,Withdrawn
"NELSON & SMALL MARINE & RECREATION, INC.",94865,"NELSON & SMALL MARINE & RECREATION, INC.",,Foreign Profit Corporation,"212 CANCO RD. P. O. BOX 1420, PORTLAND, ME, 04103, USA",C T Corporation System,Admin. Suspension
NELSON & SMALL MARINE AND RECREATION,131759,,,Trade Name,"20 PERIMETER RD. GRENIER INDUSTRIAL PARK P.O. BOX 5115, MANCHESTER, NH, 03105, USA",,Expired
NELSON & SMALL OF NEW HAMPSHIRE,31915,,,Trade Name,"P.O. BOX 5115 200 PERIMETER ROAD, MANCHESTER, NH, 03108, USA",,Expired
"NELSON & SMALL, INC.",2688,"NELSON & SMALL, INC.",,Foreign Profit Corporation,"212 CANCO RD PO BOX 1420, PORTLAND, ME, 04104, USA","Zachos, Kimon S, Esq",Withdrawn
NELSON & SON CONTRACTING ROOFING SPECIALISTS,52775,,,Trade Name,"RFD 5, BOX 111, WATER ST.,, BOSCAWEN, NH, 03303, USA",,Expired
"Nelson & Sons Home Improvement, Inc.",704298,,,Domestic Profit Corporation,"48 Cottonwood Dr, Dover, NH, 03820, USA",No Registered Agent on file,Administratively Dissolved
"Nelson & Tana Hall Real Estate Holding Co., LLC",473806,,"RED ELEPHANT INN, LLC",Domestic Limited Liability Company,"28 LOCUST LN, NORTH CONWAY, NH, 03860, USA","Melendy, Fay E, Esq",Admin Dissolution
NELSON ADVERTISING,226036,,,Trade Name,"15 MOSETT AVE., GOFFSTOWN, NH, 03045, USA",,Expired
"Nelson Aesthetics, LLC",674207,,,Domestic Limited Liability Company,"PO Box 224 44 Margo Ave, Spofford, NH, 03462, USA","Nelson, Tina",Good Standing
"NELSON AFFORDABLE STORAGE, LLC",538626,,,Domestic Limited Liability Company,"PO Box 505, Alton, NH, 03809, USA","Nelson, Allen D",Good Standing
"NELSON ANALYTICAL, LLC",379848,,,Domestic Limited Liability Company,"490 E Industrial Park Drive, Manchester, NH, 03109, USA","Nelson, Andrew O",Good Standing
"Nelson and Hill, Inc.",B57358,,,Domestic Profit Corporation,"Unknown, Concord, NH, 03301, USA",,Admin Dissolution
"Nelson Architectural Engineers, Inc.",661587,"Nelson Architectural Engineers, Inc.",,Foreign Profit Corporation,"2740 Dallas Parkway Suite 220, Plano, TX, 75093, USA",C T Corporation System,Administratively Suspended Name Protection
NELSON ASSOCIATES,93184,,,Trade Name,"30 HOLTON CIRCLE, LONDONDERRY, NH, 03053, USA",,Expired
NELSON AUBE XMAS TREE AND WOOD'S BUSINESS,201517,,,Trade Name,"BOX 328 RT. #1, HARDWICK, VT, 05843, USA",,Expired
NELSON AUTO SALES,31909,,,Trade Name,"ROUTE 101, RAYMOND, NH, 03077, USA",,Expired
NELSON BASEBALL ASSOCIATION,61953,,,Domestic Nonprofit Corporation,"NELSON, NH, 03431, USA",,Dissolved
Nelson Boire Transport,568462,,,Trade Name,"1100 Rte 3 PO Box 36, West Stewartstown, NH, 03597, USA",,Active
NELSON BOOKS,305362,,,Trade Name,"23 John Stark Highway, Newport, NH, 03773, USA",,Expired
NELSON BROOK STOCKFARM,46961,,,Trade Name,"128 WILLOW ROAD, RFD #1, E. KINGSTON, NH, 03827, USA",,Expired
"Nelson Building Co., Inc.",654039,,,Domestic Profit Corporation,"Unknown, Salem, NH, 03079, USA",,Admin Dissolution
NELSON C. FAUGHT COMPANY,49973,,,Trade Name,"22 WEST STREET PO BOX 483, KEENE, NH, 03431, USA",,Expired
"NELSON C. KILMISTER, GENERAL CONTRACTOR",42167,,,Trade Name,"41 FRONT ST., SUNCOOK, NH, 03275, USA",,Expired
NELSON CAPITAL INVESTMENTS,136956,,,Trade Name,"27 Nancy Ln, Bedford, NH, 03110, USA",,Expired
Nelson Capital Investments,667234,,,Trade Name,"27 Nancy Lane, Bedford, NH, 03110, USA",,Active
"Nelson Capital Investments, LLC",554857,,,Domestic Limited Liability Company,"27 Nancy Lane, Bedford, NH, 03110, USA",CORPORATION SERVICE COMPANY,Admin Dissolution
Nelson Carpentry & Painting LLC,740121,,NELSON CARPENTRY@PAINTING LLC,Domestic Limited Liability Company,"265 Pako Ave, Keene, NH, 03431, USA","Nelson, Elizabeth",Good Standing
Nelson Chemical Company,B51466,,,Domestic Profit Corporation,"Unknown, Concord, NH, 03301, USA",,Admin Dissolution
NELSON COMMUNICATIONS SERVICES,113318,,,Trade Name,"P.O. BOX 351 CLEVELAND HILL RD., TAMWORTH, NH, 03886, USA",,Expired
"Nelson Communications Services, Inc.",154365,,,Domestic Profit Corporation,"354 MILL STREET, CENTER CONWAY, NH, 03813, USA","Nelson, John H, Jr",Good Standing
Nelson Congregational Church,67864,,FIRST CONGREGATIONAL CHURCH IN NELSON,Domestic Nonprofit Corporation,"830 NELSON ROAD, NELSON, NH, 03457, USA",,Good Standing
"NELSON CONSULTING ASSOCIATES, INC.",241822,,"BLS WIRELESS, INC.",Domestic Profit Corporation,"PO BOX 538, N CONWAY, 03860, USA","Deans, Dorcas H, Esq",Dissolved
NELSON CONTRACTING CORP.,140645,,,Domestic Profit Corporation,"RFD 2, JENNESS RD, EPPING, NH, 03042, USA",,Dissolved
Nelson Custom Machine LLC,602227,,,Domestic Limited Liability Company,"11 Caldwell Drive U7, Amherst, NH, 03031, USA","Nelson, Daniel R",Dissolved
NELSON DESIGNS,208335,,,Trade Name,"PO BOX 422, DUBLIN, NH, 03444, USA",,Expired
"Nelson Dog Grooming, LLC",709095,,,Domestic Limited Liability Company,"214 Dover Point Rd, Dover, NH, 03820, USA","Nelson, Katie W.",Good Standing
Nelson Dowling Coal Company,B53714,,,Domestic Profit Corporation,"Unknown, Manchester, NH, 03101, USA",,Admin Dissolution
NELSON DRAFTING SERVICES & DISTRIBUTION,297573,,,Trade Name,"297 ASHBY ROAD, NEW IPSWICH, NH, 03071, USA",,Expired
"NELSON ENTERPRISES, LLC",758499,,,Domestic Limited Liability Company,"409 The Hill, Portsmouth, NH, 03801, USA",Jennifer Nelson,Not In Good Standing
NELSON ENVIRONMENTAL,194448,,,Trade Name,"LOWELL ST PO BOX 240, ALBANY, VT, 05820, USA",,Expired
"NELSON EQUIPMENT LEASING OF ALBANY, L.L.C.",337800,,,Domestic Limited Liability Company,"354 MILL STREET, CENTER CONWAY, NH, 03813, USA","Nelson, John H, Jr",Good Standing
"Nelson Estates, Inc.",B57356,,,Domestic Profit Corporation,"Unknown, Keene, NH, 03431, USA",,Admin Dissolution
Nelson Family Association,679410,,,Domestic Nonprofit Corporation,"Unknown, Sutton, NH, 03260, USA",,Admin Diss LLP-CC-NP
Nelson Family Builders LLC,730595,,,Domestic Limited Liability Company,"3 Bluffs Dr, Concord, NH, 03303, USA","Nelson, Cordaire",Administratively Dissolved
Nelson Family LLC,301062,,,Domestic Limited Liability Company,"15A Water St, Newmarket, NH, 03857, USA",Nelson Kathryn,Not In Good Standing
NELSON FARM,61954,,,Domestic Nonprofit Corporation,"Pierce Rd, Bradford, NH, 03221, USA",,Good Standing
NELSON FARM DEVELOPMENT CORP.,143241,,,Domestic Profit Corporation,"C/O DEWEY R. OLIGNY 650 SUFFOLK STREET, LOWELL, MA, 01853, USA","Westgate, J Bradford, Esq",Dissolved
