Montana Business Search

Business Name or Number,son
,Contains
System Through Date,11/08/2019

Entity Name,Entity Number,Known in Montana As/Alternate Name,Status,Registration Date,Postal Address
JASON WARD,I226344,N/A,Active Good Standing,10/09/2008,"Street Address 1 N CHOTEAU AVE, HARDIN, Montana, 59034, United States Mailing Address"
"PARSONS BEHLE & LATIMER, A PROFESSIONAL CORPORATION",CRA0000120,N/A,Active Good Standing,11/01/2019,"Street Address 110 East Broadway, Suite 206, Missoula, Montana, 59802, United States Mailing Address P.O. Box 7369, Missoula, Montana, 59807, United States"
"ANDERSON REGISTERED AGENTS, INC.",CRA0000122,N/A,Active Good Standing,11/06/2019,"Street Address 1925 Grand Avenue, Suite 127, Billings, Montana, 59102, United States Mailing Address Montana, United States"
"BJORNSON CORPORATE SERVICES, LLC",I328109,N/A,Active Good Standing,06/02/2016,"Street Address 2809 GREAT NORTHERN LOOP #100, MISSOULA, Montana, 59808, United States Mailing Address"
J E LARSON DAVIS,I236690,N/A,Active Good Standing,03/30/2009,"Street Address 2047 N LAST CHANCE GULCH #200, HELENA, Montana, 59601, United States Mailing Address"
BENGSON PAINTING,A144606,N/A,Inactive Expired,05/03/2007,Assumed Business Name,
WAYNE RICHARDSON - EAGLE ENTERPRISES,A068402,N/A,Inactive Expired,07/29/1998,Assumed Business Name,
ERICKSON ENTERPRISES & INVESTMENTS,A006744,N/A,Inactive Expired,08/20/1984,Assumed Business Name,
TROWEL AND HAMMER MASONRY AND CONSTRUCTION,A020717,N/A,Inactive Expired,08/03/1989,Assumed Business Name,
KB & SONS,A034841,N/A,Inactive Expired,05/07/1993,Assumed Business Name,
ENTERPRISING OLSONS,A014692,N/A,Inactive Expired,07/13/1987,Assumed Business Name,
A. L. WILLIAMS/WILLIAM J. SWANSON,A007000,N/A,Inactive Expired,10/01/1984,Assumed Business Name,
WILKERSON BUILDERS,A251972,N/A,"Inactive, Cancelled",05/09/2016,Assumed Business Name,
MADISON VALLEY HONEY,A113581,N/A,Active Good Standing,06/16/2004,Assumed Business Name,
SAGE AND MADISON,A031937,N/A,Inactive Expired,10/06/1992,Assumed Business Name,
BISON MOUNTAIN OUTDOOR PRODUCTS,A189683,N/A,Active Good Standing,04/14/2011,Assumed Business Name,
ASHBY AND SONS CONSTRUCTION,A126667,N/A,"Inactive, Cancelled",10/03/2005,Assumed Business Name,
HUTCHINSON AVIATION,A106772,N/A,Inactive Expired,09/29/2003,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/DELIGHT IVERSON,A144476,N/A,Inactive Expired,04/30/2007,Assumed Business Name,
POLSON ELECTRONICS,A141730,N/A,Inactive Expired,03/02/2007,Assumed Business Name,
NELSON'S CONSTRUCTION,A172613,N/A,Active Pending Expiration,11/16/2009,Assumed Business Name,
RON JOHNSON RANCH,A148848,N/A,Inactive Expired,09/25/2007,Assumed Business Name,
GUSTAFSON LAW OFFICES,A205237,N/A,Inactive Expired,07/19/2012,Assumed Business Name,
KNUDSON RENTALS,A161664,N/A,Inactive Expired,11/07/2008,Assumed Business Name,
JUSTIN LAGEMANN'S MASONRY,A210921,N/A,Inactive Expired,01/30/2013,Assumed Business Name,
A. L. WILLIAMS/RICK D. NELSON,A004747,N/A,Inactive Expired,09/07/1983,Assumed Business Name,
ERIKSSON DESIGN,A100881,N/A,Inactive Expired,02/18/2003,Assumed Business Name,
A. L. WILLIAMS/ROBERT A. DAVIDSON OFFICE,A022854,N/A,Inactive Expired,04/19/1990,Assumed Business Name,
SWANSON EASY DECONSTRUCTION,A226077,N/A,Inactive Expired,04/23/2014,Assumed Business Name,
LEE A JOHNSON,A156247,N/A,Inactive Expired,05/06/2008,Assumed Business Name,
THE PERSONAL GARDENER,A102021,N/A,Active Good Standing,03/28/2003,Assumed Business Name,
ART BY ANDERSON,A089652,N/A,Inactive Expired,09/20/2001,Assumed Business Name,
A. L. WILLIAMS/TRACY PETERSON YADON,A022852,N/A,Inactive Expired,04/19/1990,Assumed Business Name,
MONSON FAMILY FARMS,A101861,N/A,Active Good Standing,03/24/2003,Assumed Business Name,
BEAR MASONRY AND CONSTRUCTION,A155118,N/A,Inactive Expired,04/04/2008,Assumed Business Name,
OLSON COLORS,A194694,N/A,Inactive Expired,09/15/2011,Assumed Business Name,
PERKINS & SONS,A182990,N/A,Inactive Expired,09/30/2010,Assumed Business Name,
ALL SEASONS PROPERTY MANAGEMENT,A135936,N/A,Inactive Expired,07/28/2006,Assumed Business Name,
CARLSON ACADEMY,A156154,N/A,Inactive Expired,05/05/2008,Assumed Business Name,
A. L. WILLIAMS/LINDA ERICKSON,A013399,N/A,Inactive Expired,02/10/1987,Assumed Business Name,
LINAFELTER & SON CONSTRUCTION,A064210,N/A,Inactive Expired,12/30/1997,Assumed Business Name,
ANDERSON CABINET,A043818,N/A,Inactive Expired,12/30/1994,Assumed Business Name,
JP & SONS GENERAL CONTRACTING,A155819,N/A,Inactive Expired,04/25/2008,Assumed Business Name,
BAKER & SONS WHOLESALES,A040622,N/A,Inactive Expired,06/06/1994,Assumed Business Name,
J STEVENSON TRUCKING,A077703,N/A,Inactive Expired,01/10/2000,Assumed Business Name,
LESLIE HALLGRIMSON,A135219,N/A,Inactive Expired,07/10/2006,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/FERN YVONNE JOHNSON,A086456,N/A,Inactive Expired,04/12/2001,Assumed Business Name,
LARRY JOHNSON RANCH & BACKHOE,A166890,N/A,Inactive Expired,05/04/2009,Assumed Business Name,
PFS - WILSON & ASSOCIATES,A072681,N/A,Inactive Expired,03/29/1999,Assumed Business Name,
MADISONJO CREATIVE,A224164,N/A,Inactive Expired,03/03/2014,Assumed Business Name,
A. L. WILLIAMS/JAMES ALLEN HANSON,A015364,N/A,Inactive Expired,10/13/1987,Assumed Business Name,
PERSONALIZED PHOTO QUILTS,A110987,N/A,Inactive Expired,03/16/2004,Assumed Business Name,
A TO Z MASONRY,A102352,N/A,Inactive Expired,04/10/2003,Assumed Business Name,
TWO HANDS ON,A213297,N/A,Inactive Expired,03/25/2013,Assumed Business Name,
GREGG THOMPSON CONSTRUCTION,A115181,N/A,Inactive Expired,08/23/2004,Assumed Business Name,
SEASONS OF MONTANA GIFTS & DECOR,A071082,N/A,Inactive Expired,02/03/1999,Assumed Business Name,
WILKERSON'S BACKHOE SERVICE,A029451,N/A,Inactive Expired,02/25/1992,Assumed Business Name,
ROLIN ATKINSON CONSTRUCTION,A218285,N/A,Inactive Expired,08/29/2013,Assumed Business Name,
MEAGAN THOMPSON PHOTOGRAPHY,A197683,N/A,Active Good Standing,12/20/2011,Assumed Business Name,
NELSON BROTHERS,A004751,N/A,Inactive Expired,09/07/1983,Assumed Business Name,
JR'S ONE STOP SHOP,A164650,N/A,Inactive Expired,03/02/2009,Assumed Business Name,
SONAGOLESE ENTERPRISES,A106015,N/A,Inactive Expired,08/29/2003,Assumed Business Name,
ABSOLUTELY MASONRY,A141981,N/A,Active Good Standing,02/20/2007,Assumed Business Name,
MONTANA TILE AND MASONRY,A229082,N/A,Inactive Expired,07/21/2014,Assumed Business Name,
ANDERSON REPAIR,A041223,N/A,Inactive Expired,07/14/1994,Assumed Business Name,
JASON GREENWALD COMPUTER WORKS,A140371,N/A,Inactive Expired,01/02/2007,Assumed Business Name,
MARY LOUISE NELSON,A239348,N/A,Active Good Standing,05/18/2015,Assumed Business Name,
PETERSON CONSTRUCTION,A177266,N/A,Inactive Expired,04/20/2010,Assumed Business Name,
THE BEAD GOES ON,A244812,N/A,Active Good Standing,10/26/2015,Assumed Business Name,
4 1/2 SEASONS LAWN SERVICE,A194498,N/A,Inactive Expired,09/08/2011,Assumed Business Name,
OLSON COMMUNICATIONS,A133247,N/A,Inactive Expired,04/27/2006,Assumed Business Name,
HELENA MASONRY AND STONE WORKS,A114184,N/A,Inactive Expired,07/09/2004,Assumed Business Name,
A. L. WILLIAMS/DARLA PETERSON,A005853,N/A,Inactive Expired,03/28/1984,Assumed Business Name,
LAVONNE FUSON CLEANING,A207322,N/A,Inactive Expired,09/25/2012,Assumed Business Name,
ALL SEASONS HIDE PREPARATION SERVICE,A106381,N/A,Active Good Standing,09/15/2003,Assumed Business Name,
WASHBURN'S MASONRY,A102662,N/A,"Inactive, Cancelled",04/21/2003,Assumed Business Name,
PERSONAL TOUCH JANATORIAL,A054701,N/A,Inactive Expired,07/09/1996,Assumed Business Name,
SORENSON & COMPANY,A002419,N/A,"Inactive, Cancelled",02/08/1982,Assumed Business Name,
ELK SONG ARTS,A227218,N/A,"Inactive, Cancelled",05/23/2014,Assumed Business Name,
CARLSON CONSTRUCTION,A083206,N/A,"Inactive, Cancelled",10/30/2000,Assumed Business Name,
A. L. WILLIAMS/WILLIAM WILLIAMSON,A011487,N/A,Inactive Expired,05/12/1986,Assumed Business Name,
POLSON BAY STEAKHOUSE,A140318,N/A,Inactive Expired,12/29/2006,Assumed Business Name,
OUTLAW MASONRY,A112178,N/A,Inactive Expired,04/28/2004,Assumed Business Name,
CLIFF PERSONS ENTERPRISES,A206958,N/A,Inactive Expired,09/21/2012,Assumed Business Name,
KAP & SONS CONSTRUCTION,A233937,N/A,Active Pending Expiration,12/23/2014,Assumed Business Name,
LONE MOUNTAIN CLEANERS,A091312,N/A,Inactive Expired,01/03/2002,Assumed Business Name,
ANDERSON ENERGY ASSOCIATES,A105750,N/A,Active Good Standing,08/20/2003,Assumed Business Name,
PORT OF POLSON JANITORIAL,A178866,N/A,Active Good Standing,05/25/2010,Assumed Business Name,
ALEGRIA & SONS,A249129,N/A,Active Good Standing,02/29/2016,Assumed Business Name,
HUSON TRUCK AND AUTOMOTIVE REPAIR,A080772,N/A,Inactive Expired,06/06/2000,Assumed Business Name,
JASON CATALDO OUTFITTING,A241943,N/A,Active Good Standing,07/31/2015,Assumed Business Name,
LARCH LANDS MASONRY,A045483,N/A,Inactive Expired,03/22/1995,Assumed Business Name,
MCKESSON DRUG COMPANY,A033978,N/A,"Inactive, Cancelled",03/15/1993,Assumed Business Name,
"ACTION ELECTRIC, INC. DICKINSON",A200596,N/A,Inactive Expired,03/27/2012,Assumed Business Name,
PERSONAL COLORS,A003024,N/A,Inactive Expired,07/30/1982,Assumed Business Name,
MASON MECHANICAL INSULATION,A035364,N/A,Inactive Expired,06/15/1993,Assumed Business Name,
VAN DESSEL & SONS,A013364,N/A,Inactive Expired,02/05/1987,Assumed Business Name,
PATCHES ON THE PRAIRIE QUILT GUILD,A234764,N/A,Active Pending Expiration,01/16/2015,Assumed Business Name,
RANSON RESTORATION,A244570,N/A,Active Good Standing,10/26/2015,Assumed Business Name,
"SWENSON AND WICKS, ECONOMIC APPRAISERS",A022618,N/A,Inactive Expired,03/09/1990,Assumed Business Name,
AMICI - MANY HANDS JOINED AS ONE,A060315,N/A,Inactive Expired,05/14/1997,Assumed Business Name,
BENSON ENTERPRISES,A037981,N/A,Inactive Expired,01/05/1994,Assumed Business Name,
CARLSON INTERNATIONAL,A121477,N/A,Inactive Expired,04/07/2005,Assumed Business Name,
LOWER MADISON RIVER VALLEY WOMEN'S CLUB,A249127,N/A,Active Good Standing,02/29/2016,Assumed Business Name,
SEASON'S TRESURES,A025300,N/A,Inactive Expired,01/18/1991,Assumed Business Name,
SANCHEZ & SON CONST.,A045672,N/A,Inactive Expired,03/30/1995,Assumed Business Name,
GEM AGENCY LTD; DBA FIRST GABRIELSON AGENCY,F576520,N/A,Inactive Registration,06/13/2016,Foreign Business Name,
"CHUBB & SON, INC.",F468724,N/A,Inactive Registration,01/14/2013,Foreign Business Name,
CHRISTIANSON MASONRY,A1019923,N/A,Active Good Standing,11/03/2016,Assumed Business Name,
Primerica Financial Services/ Sherry Watson,A1019924,N/A,Active Good Standing,08/18/2016,Assumed Business Name,
PAUL AND SONS PLUMBING,A000729,N/A,"Inactive, Cancelled",06/27/1980,Assumed Business Name,
Brandon Thompson Painting,A1020183,N/A,Active Good Standing,08/22/2016,Assumed Business Name,
ALL SEASON FEED AND SUPPLY,A040570,N/A,Inactive Expired,06/02/1994,Assumed Business Name,
Father and Son Construction,A1020412,N/A,Active Good Standing,08/22/2016,Assumed Business Name,
ERICKSON'S EXCAVATING,A137076,N/A,Inactive Expired,09/05/2006,Assumed Business Name,
Pearson's Big Sandy Cantaloupe,A1020530,N/A,Active Good Standing,08/24/2016,Assumed Business Name,
Bjornson Jones Mungas PLLC,A1020604,N/A,Active Good Standing,08/25/2016,Assumed Business Name,
The Johnson Place Guest House,A1020678,N/A,Active Good Standing,08/24/2016,Assumed Business Name,
SONGBIRD COMMUNITY GARDEN,A1021061,N/A,"Inactive, Cancelled",08/29/2016,Assumed Business Name,
Abercrombie Personnel Services,A1021228,N/A,Active Good Standing,08/31/2016,Assumed Business Name,
"Jefferson Property Holdings, LLC",A1021304,N/A,Active Good Standing,08/31/2016,Assumed Business Name,
OTTESON RAZZLE DAZZLE CHALLENGE CAMP,A112549,N/A,"Inactive, Cancelled",05/10/2004,Assumed Business Name,
BISON CREEK,A135836,N/A,Active Good Standing,07/26/2006,Assumed Business Name,
Anfinson Consulting,A1021635,N/A,Active Good Standing,09/06/2016,Assumed Business Name,
Primerica Financial Services / Robert J. Nelson,A1021869,N/A,Active Good Standing,09/07/2016,Assumed Business Name,
T LAWSON CONSTRUCTION,A1021889,N/A,Active Good Standing,09/07/2016,Assumed Business Name,
Lewis & Sons Drywall,A1022279,N/A,Active Good Standing,09/12/2016,Assumed Business Name,
Sullivan's Masonry,A1022552,N/A,Active Good Standing,09/15/2016,Assumed Business Name,
Montana Bison Fashion & Furs,A1022789,N/A,Active Good Standing,09/23/2016,Assumed Business Name,
Olson Custom Handywork,A1023146,N/A,Active Good Standing,09/22/2016,Assumed Business Name,
Four Seasons Roofing,A1023265,N/A,Active Good Standing,09/23/2016,Assumed Business Name,
Anderson Mason Dale Architects,A1023305,N/A,Active Good Standing,02/01/2017,Assumed Business Name,
E.T. Trucking and Son LLC,A1023374,N/A,Inactive Revocation,09/26/2016,Assumed Business Name,
DIANE FENLASON PHOTOGRAPHY,A1023475,N/A,Active Good Standing,09/26/2016,Assumed Business Name,
Swanson IT Consulting,A1023586,N/A,Active Good Standing,09/27/2016,Assumed Business Name,
Jackson's European Mounts,A1023951,N/A,Active Good Standing,10/01/2016,Assumed Business Name,
HARRISON HORSE HAVEN,A201765,N/A,Inactive Expired,04/12/2012,Assumed Business Name,
Sonic Roofing,A1024077,N/A,Active Good Standing,10/03/2016,Assumed Business Name,
Structurescapes Masonry & Construction,A1024084,N/A,Active Good Standing,11/23/2016,Assumed Business Name,
Bison Data Recovery,A1024210,N/A,Active Good Standing,10/04/2016,Assumed Business Name,
MADISON SUNRISER RANCHES,A003308,N/A,Inactive Expired,10/14/1982,Assumed Business Name,
Personal Space,A1024498,N/A,Active Good Standing,10/06/2016,Assumed Business Name,
"Peterson Bros. Insurance, Inc.",A1024715,N/A,Inactive Revocation,10/11/2016,Assumed Business Name,
R n B Masonry,A1024777,N/A,Active Good Standing,10/11/2016,Assumed Business Name,
"Simonson Legacy Consulting, CFP",A1024792,N/A,Active Good Standing,10/11/2016,Assumed Business Name,
HARD ROCK MASONRY,A133044,N/A,Inactive Expired,04/24/2006,Assumed Business Name,
Go'Fer Personal Services,A1024823,N/A,Active Good Standing,10/12/2016,Assumed Business Name,
EARTHANSONG,A1024982,N/A,Active Good Standing,10/11/2016,Assumed Business Name,
Johnson Lane Materials,A1025190,N/A,Active Good Standing,10/17/2016,Assumed Business Name,
WILLIAM J HICKSON JR DBA MATCO TOOLS,A1025297,N/A,Active Good Standing,10/17/2016,Assumed Business Name,
JANRICH AND SONS CONSTRUCTION,A077700,N/A,Inactive Expired,01/10/2000,Assumed Business Name,
Hudson Creek Ranch,A1025635,N/A,Active Good Standing,10/20/2016,Assumed Business Name,
Primerica Financial Services/Travis Lee Stephenson,A1025670,N/A,Active Good Standing,10/21/2016,Assumed Business Name,
All Seasons Yard Service,A1025773,N/A,Active Good Standing,10/24/2016,Assumed Business Name,
Willis Towers Watson Management (Montana),A1025879,N/A,Active Good Standing,10/24/2016,Assumed Business Name,
PARSONS REALTY & AUCTION,A1025896,N/A,Active Good Standing,10/24/2016,Assumed Business Name,
SCOTSON CONSTRUCTION,A1025916,N/A,Active Good Standing,10/25/2016,Assumed Business Name,
P. Ballantine & Sons,A1026253,N/A,Active Good Standing,10/28/2016,Assumed Business Name,
KHRISTIAN JOHNSON ENTERPRISES,A1026295,N/A,Active Good Standing,11/07/2016,Assumed Business Name,
Polson Super 1,A1026331,N/A,Active Good Standing,10/31/2016,Assumed Business Name,
Davidson Custom Builders,A1026601,N/A,"Inactive, Cancelled",11/02/2016,Assumed Business Name,
Haddison Press,A1026614,N/A,Active Good Standing,11/02/2016,Assumed Business Name,
WILLSON AND MAIN PARTNERS,A146360,N/A,Inactive Expired,06/25/2007,Assumed Business Name,
QUERBES AND NELSON,A019913,N/A,Inactive Expired,05/01/1989,Assumed Business Name,
Matthew Larson Fitness,A1026751,N/A,Active Good Standing,11/03/2016,Assumed Business Name,
Amy Jimmerson Photography,A1026752,N/A,Active Good Standing,11/03/2016,Assumed Business Name,
Parsons Mining and Exploration,A1026772,N/A,Active Good Standing,11/03/2016,Assumed Business Name,
Larson Trucking,A1026936,N/A,Active Good Standing,11/07/2016,Assumed Business Name,
Peterson Painting,A1027348,N/A,Active Good Standing,11/21/2016,Assumed Business Name,
Jason P. Burson Authorized Matco Tool Distributor,A1027376,N/A,Active Good Standing,11/14/2016,Assumed Business Name,
Don Thompson Custom Leather,A1027430,N/A,Active Good Standing,11/14/2016,Assumed Business Name,
Meals on Wheels Missoula County,A1027437,N/A,Active Good Standing,11/14/2016,Assumed Business Name,
Robert D Robinson Architect,A1027474,N/A,Active Good Standing,11/14/2016,Assumed Business Name,
"Rhoades, Siefert & Erickson, PLLC",A1027541,N/A,Involuntary Dissolution,11/15/2016,Assumed Business Name,
CRIMSON & CLOVER CREATIONS,A1027550,N/A,Active Good Standing,11/17/2016,Assumed Business Name,
Garrison Defense,A1027617,N/A,Active Good Standing,11/15/2016,Assumed Business Name,
Prayers On The Wind,A1027800,N/A,Active Good Standing,11/30/2016,Assumed Business Name,
ALL SEASON INSPECTIONS,A243670,N/A,Active Good Standing,09/24/2015,Assumed Business Name,
NELSON MASONRY AND TILE,A232067,N/A,Inactive Expired,10/20/2014,Assumed Business Name,
LARRY THOMPSON CONSTRUCTION,A141204,N/A,Inactive Expired,01/29/2007,Assumed Business Name,
Lisa Gibson Art,A1028156,N/A,Active Good Standing,11/21/2016,Assumed Business Name,
Alex Nicklaus Peterson DBA AP Remodeling,A1028210,N/A,Active Good Standing,11/21/2016,Assumed Business Name,
Olson Communications,A1028222,N/A,Active Good Standing,11/22/2016,Assumed Business Name,
Jessica Olson Piano Studio,A1028231,N/A,Active Good Standing,11/23/2016,Assumed Business Name,
TREVOR JOHNSON SPORTFISHING,A1028259,N/A,Active Good Standing,11/22/2016,Assumed Business Name,
Hanson Farms,A1028262,N/A,Active Good Standing,11/22/2016,Assumed Business Name,
Quilts on Broadwater,A1028402,N/A,Active Good Standing,11/25/2016,Assumed Business Name,
Rhoades On -Site Welding and Repair,A1028434,N/A,Active Good Standing,11/25/2016,Assumed Business Name,
"Bison Construction, LLC of Wyoming",A1028692,N/A,Inactive Revocation,11/30/2016,Assumed Business Name,
"3745 Harrison Ave, LLC",R1028713,N/A,Inactive Registration,12/02/2016,Foreign Business Name,
RICHARDSON FARMING,A155046,N/A,Active Good Standing,04/09/2008,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/JOSH CHRISTOFERSON,A192710,N/A,Inactive Expired,07/11/2011,Assumed Business Name,
JOHNSON CHIROPRACTIC CENTER,A072799,N/A,"Inactive, Cancelled",04/01/1999,Assumed Business Name,
Ruso Nochilt Top 1 roofing,A1029015,N/A,Active Good Standing,12/05/2016,Assumed Business Name,
Meghan Larson,A1029054,N/A,Active Good Standing,12/05/2016,Assumed Business Name,
Neason Construction,A1029172,N/A,Active Good Standing,12/05/2016,Assumed Business Name,
SHARPER IMAGE SONOGRAPHY,A1029244,N/A,Active Good Standing,12/29/2016,Assumed Business Name,
Gustafson Logistics,A1029312,N/A,Active Good Standing,12/07/2016,Assumed Business Name,
Hutchinson Aviation,A1029332,N/A,Active Good Standing,12/07/2016,Assumed Business Name,
Anderson Family Vision,A1029333,N/A,Active Good Standing,12/07/2016,Assumed Business Name,
Simonson Log and Timber,A1029422,N/A,"Inactive, Cancelled",12/08/2016,Assumed Business Name,
Painters on the Fly,A1029661,N/A,Active Good Standing,12/12/2016,Assumed Business Name,
"Nelson Electric of Montana, LLC",A1030213,N/A,Active Good Standing,12/12/2016,Assumed Business Name,
Spearson Construction,A1030247,N/A,Active Good Standing,12/19/2016,Assumed Business Name,
Spearson Fabrication,A1030248,N/A,Active Good Standing,12/19/2016,Assumed Business Name,
Pete Johnson Repair,A1030264,N/A,Active Good Standing,12/30/2016,Assumed Business Name,
billndeb Harrison,A1030503,N/A,Active Good Standing,12/21/2016,Assumed Business Name,
Tracy Engebritson Fitness,A1030619,N/A,Active Good Standing,12/22/2016,Assumed Business Name,
Erickson Consulting Services,A1030788,N/A,"Inactive, Cancelled",12/27/2016,Assumed Business Name,
JACKSON'S HEATING VENTILATING AIR CONDITIONING CONTROLS,A057213,N/A,Active Good Standing,12/10/1996,Assumed Business Name,
MADISON RIVER PROPANE,A221378,N/A,Inactive Revocation,12/11/2013,Assumed Business Name,
Johnson & Sons Construction,A1031955,N/A,Active Good Standing,01/06/2017,Assumed Business Name,
Wilson Hotel,A1031978,N/A,Active Good Standing,01/10/2017,Assumed Business Name,
Larson Flooring Installations,A1032094,N/A,Active Good Standing,01/11/2017,Assumed Business Name,
JEFFERSON RIVER AUTO REPAIR,A023668,N/A,Inactive Expired,07/03/1990,Assumed Business Name,
Allison Enterprises,A1032459,N/A,Active Good Standing,01/12/2017,Assumed Business Name,
Haldorson Liquor Agency,A1032912,N/A,Involuntary Dissolution,01/19/2017,Assumed Business Name,
Samson & Bros Drywall and Finishing,A1032998,N/A,Active Good Standing,01/19/2017,Assumed Business Name,
McCormick's Onsite Repair,A1033056,N/A,"Inactive, Cancelled",02/03/2017,Assumed Business Name,
Lula Rae Jessica McPherson,A1033581,N/A,Active Good Standing,01/19/2017,Assumed Business Name,
The Wandering Bison,A1033949,N/A,Active Good Standing,01/27/2017,Assumed Business Name,
Tyson Gruber Construction,A1033991,N/A,Active Good Standing,01/30/2017,Assumed Business Name,
Rasmuson Electric & Construction,A1034061,N/A,Active Good Standing,01/30/2017,Assumed Business Name,
Laubach & Sons,A1034197,N/A,Active Good Standing,01/31/2017,Assumed Business Name,
Son of Sawmill,A1034199,N/A,Active Good Standing,01/31/2017,Assumed Business Name,
MCGLADREY HENDRICKSON & PULLEN,A006190,N/A,Inactive Expired,05/18/1984,Assumed Business Name,
"Isaac and Sons Construction, Home Remodling and Repair",A1034654,N/A,Active Good Standing,01/30/2017,Assumed Business Name,
Henderson's Home Decor,A1034864,N/A,Active Good Standing,01/30/2017,Assumed Business Name,
Brewers On The Bay,A1034914,N/A,Active Good Standing,02/07/2017,Assumed Business Name,
Barnes on Boundary,A1035089,N/A,"Inactive, Cancelled",02/09/2017,Assumed Business Name,
Bob Ward & Sons,A1035114,N/A,Active Good Standing,02/09/2017,Assumed Business Name,
Four Seasons Ideation,A1035138,N/A,Active Good Standing,02/09/2017,Assumed Business Name,
Four Seasons Media,A1035224,N/A,Active Good Standing,02/10/2017,Assumed Business Name,
Culbertson custom,A1035335,N/A,Active Good Standing,02/10/2017,Assumed Business Name,
Wilson + Sons Painting,A1035605,N/A,Active Good Standing,02/06/2017,Assumed Business Name,
STEENSON TRANSCRIPTION SERVICE,A063844,N/A,Inactive Expired,12/05/1997,Assumed Business Name,
Jason Eckart Inspections Plus,A1035975,N/A,Active Good Standing,02/16/2017,Assumed Business Name,
Sanderson Imaging Service,A1035978,N/A,Active Good Standing,02/16/2017,Assumed Business Name,
A. L. WILLIAMS/R. E. HANSON,A003717,N/A,Inactive Expired,02/02/1983,Assumed Business Name,
Carol Clarkson Pottery,A1036595,N/A,Active Good Standing,02/23/2017,Assumed Business Name,
NELSON CUSTOM LEATHER,A247337,N/A,Active Good Standing,01/14/2016,Assumed Business Name,
Laura Hudson Sole Proprietor,A1036668,N/A,Active Good Standing,03/09/2017,Assumed Business Name,
Nelson Furniture Repair,A1036913,N/A,Active Good Standing,02/27/2017,Assumed Business Name,
D. JAY PEARSON CONSTRUCTION,A1037079,N/A,Active Good Standing,03/09/2017,Assumed Business Name,
JOHNSON CONSTRUCTION,A220888,N/A,Inactive Expired,11/20/2013,Assumed Business Name,
It's Personal,A1037261,N/A,Active Good Standing,03/02/2017,Assumed Business Name,
Hudson Home Repair,A1037274,N/A,Active Good Standing,03/02/2017,Assumed Business Name,
Meagan Thompson Pretty Light Images,A1037291,N/A,Active Good Standing,03/02/2017,Assumed Business Name,
Madison River Fishing Company,A1037352,N/A,Active Good Standing,03/03/2017,Assumed Business Name,
Johnson Lane Materials,A1037539,N/A,Active Good Standing,03/06/2017,Assumed Business Name,
Dawson's Painting,A1037599,N/A,Active Good Standing,03/06/2017,Assumed Business Name,
Mason Industries,A1037678,N/A,Active Good Standing,03/07/2017,Assumed Business Name,
HASTIG & SONS LAWNCARE & LANDSCAPE SERVICE,A034676,N/A,Inactive Expired,04/29/1993,Assumed Business Name,
JOHNSON'S CONSTRUCTION,A1038024,N/A,"Inactive, Cancelled",03/09/2017,Assumed Business Name,
CURRY & SONS LIGHTING,A046997,N/A,Inactive Expired,06/19/1995,Assumed Business Name,
MEACHAM & SONS,A1038089,N/A,"Inactive, Cancelled",03/10/2017,Assumed Business Name,
Nelson Tree & Turf Care,A1038431,N/A,Active Good Standing,03/14/2017,Assumed Business Name,
nelsontreecaremt.com,A1038435,N/A,Active Good Standing,03/14/2017,Assumed Business Name,
Locals Only,A1038519,N/A,Active Good Standing,03/14/2017,Assumed Business Name,
ERICKSON'S YARD SERVICE,A149470,N/A,Inactive Expired,10/05/2007,Assumed Business Name,
MADISON COUNTY FAIR,A038851,N/A,Inactive Expired,02/22/1994,Assumed Business Name,
JESPERSON CONSTRUCTION,A018892,N/A,Inactive Expired,01/10/1989,Assumed Business Name,
LAWSON'S TROPICAL TANNING,A095947,N/A,Inactive Expired,07/08/2002,Assumed Business Name,
Anderson's Masonry Hearth & Home,A1039212,N/A,Active Good Standing,03/21/2017,Assumed Business Name,
Dougherty And Sons Construction,A1039276,N/A,Active Good Standing,03/21/2017,Assumed Business Name,
MASONRY MEDIC,A1039288,N/A,"Inactive, Cancelled",03/22/2017,Assumed Business Name,
Clausen and Sons,A1039387,N/A,Active Good Standing,03/22/2017,Assumed Business Name,
Stewart A Boyce Masonry,A1039638,N/A,Active Good Standing,03/24/2017,Assumed Business Name,
Burgers on 8th Street,A1039726,N/A,Active Good Standing,03/27/2017,Assumed Business Name,
All Seasons Roofing and Construction,A1039748,N/A,Active Good Standing,03/27/2017,Assumed Business Name,
PERSONAL TOUCH,A050420,N/A,Inactive Expired,12/04/1995,Assumed Business Name,
Rebecca Collinson Health Wellness & Inspiration,A1039810,N/A,Active Good Standing,03/27/2017,Assumed Business Name,
Peterson Heating and Cooling,A1039831,N/A,Active Good Standing,03/20/2017,Assumed Business Name,
EZ lesson engine & Fabrication shop autocare,A1039905,N/A,Active Good Standing,03/27/2017,Assumed Business Name,
Nelson Academy of Agricultural Sciences,A1040028,N/A,Involuntary Dissolution,03/29/2017,Assumed Business Name,
DANIELSON CONSTRUCTION,A122866,N/A,Inactive Expired,05/25/2005,Assumed Business Name,
McPherson Dental,A1040163,N/A,Active Good Standing,03/29/2017,Assumed Business Name,
